,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,14 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Sampdoria (7 stagioni),Napoli (3 stagioni),Southampton (3 stagioni),Atalanta (2 stagioni),Bologna (1 stagione),Cittadella (1 stagione),,Serie A (12 stagioni),Premier League (3 stagioni),Serie B (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,17,Atalanta,it ITA,1. Serie A,18°,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,18,Cittadella,it ITA,2. Serie B,14°,14.6,,,,,,,,,,,,,,,2,,,,,,,,,
2011-2012,19,Atalanta,it ITA,1. Serie A,12°,9.1,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2012-2013,20,Bologna,it ITA,1. Serie A,13°,19.2,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2013-2014,21,Sampdoria,it ITA,1. Serie A,12°,30.2,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2014-2015,22,Sampdoria,it ITA,1. Serie A,7°,10.8,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2014-2015,22,Napoli,it ITA,1. Serie A,5°,9.6,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2015-2016,23,Napoli,it ITA,1. Serie A,2°,6.2,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2016-2017,24,Napoli,it ITA,1. Serie A,3°,5.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,24,Southampton,eng ENG,1. Premier League,8°,8.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,25,Southampton,eng ENG,1. Premier League,17°,12.0,158,228,"69,3",1799,178,106,129,"82,2",34,50,"68,0",2,10,"20,0",0,0.5,0.5,-0.5,7,3,5,0,12,Partite
