,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Lazio (5 stagioni),SPAL (3 stagioni),,Serie A (7 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,22,SPAL,it ITA,2. Serie B,1°,37.0,,,,,,,,,,,,,,,,,Partite
2017-2018,23,SPAL,it ITA,1. Serie A,17°,34.6,61,47,33,21,7,27,62,"43,5",35,32,7,25,31,92,73,2,Partite
2018-2019,24,SPAL,it ITA,1. Serie A,13°,31.5,29,17,16,10,3,13,24,"54,2",11,26,5,21,20,49,51,1,Partite
2019-2020,25,Lazio,it ITA,1. Serie A,4°,28.3,20,11,10,7,3,10,31,"32,3",21,11,1,10,8,28,34,0,Partite
2020-2021,26,Lazio,it ITA,1. Serie A,6°,29.0,24,14,15,4,5,14,39,"35,9",25,22,3,19,18,42,28,0,Partite
2021-2022,27,Lazio,it ITA,1. Serie A,5°,18.5,28,14,13,15,0,16,26,"61,5",10,10,2,8,12,40,16,1,Partite
2022-2023,28,Lazio,it ITA,1. Serie A,2°,20.9,33,21,13,14,6,21,36,"58,3",15,20,6,14,18,51,36,1,Partite
2023-2024,29,Lazio,it ITA,1. Serie A,8°,14.5,20,14,10,7,3,15,23,"65,2",8,15,4,11,11,31,29,1,Partite
8 stagioni,2 club,,2 campionati,,214.3,215,138,110,78,27,116,241,"48,1",125,136,28,108,118,333,267,6,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Lazio (5 stagioni),,1 campionato,,111.2,125,74,61,47,17,76,155,"49,0",79,78,16,62,67,192,143,3,
SPAL (3 stagioni),,2 campionati,,103.1,90,64,49,31,10,40,86,"46,5",46,58,12,46,51,141,124,3,
,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,177.3,215,138,110,78,27,116,241,"48,1",125,136,28,108,118,333,267,6,
Serie B (1 stagione),,,,37.0,,,,,,,,,,,,,,0,,,
