,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Lazio (5 stagioni),SPAL (3 stagioni),,Serie A (7 stagioni),Serie B (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,22,SPAL,it ITA,2. Serie B,1°,37.0,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2017-2018,23,SPAL,it ITA,1. Serie A,17°,34.6,1178,1516,"77,7",18815,5621,627,712,"88,1",445,554,"80,3",80,156,"51,3",1,2.0,2.0,-1.0,27,64,30,19,81,Partite
2018-2019,24,SPAL,it ITA,1. Serie A,13°,31.5,1092,1463,"74,6",15322,4727,696,789,"88,2",286,384,"74,5",61,146,"41,8",8,5.9,5.0,+2.1,55,56,68,57,68,Partite
2019-2020,25,Lazio,it ITA,1. Serie A,4°,28.3,835,1066,"78,3",11933,2589,482,543,"88,8",257,327,"78,6",45,89,"50,6",3,3.2,2.8,-0.2,35,14,38,22,39,Partite
2020-2021,26,Lazio,it ITA,1. Serie A,6°,29.0,924,1153,"80,1",13975,3090,473,536,"88,2",347,432,"80,3",48,84,"57,1",5,3.4,2.9,+1.6,28,28,31,19,37,Partite
2021-2022,27,Lazio,it ITA,1. Serie A,5°,18.5,859,1014,"84,7",11935,3467,507,554,"91,5",269,324,"83,0",32,54,"59,3",3,2.1,2.1,+0.9,13,50,15,6,50,Partite
2022-2023,28,Lazio,it ITA,1. Serie A,2°,20.9,1033,1183,"87,3",14314,5026,622,666,"93,4",327,376,"87,0",38,55,"69,1",0,0.7,0.9,-0.7,10,49,13,7,64,Partite
2023-2024,29,Lazio,it ITA,1. Serie A,8°,14.5,666,782,"85,2",9689,3150,372,400,"93,0",249,290,"85,9",23,46,"50,0",2,1.2,1.1,+0.8,7,44,10,6,53,Partite
8 stagioni,2 club,,2 campionati,,214.3,6587,8177,"80,6",95983,27670,3779,4200,"90,0",2180,2687,"81,1",327,630,"51,9",28,18.5,16.9,+9.5,175,305,205,136,392,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Lazio (5 stagioni),,1 campionato,,111.2,4317,5198,"83,1",61846,17322,2456,2699,"91,0",1449,1749,"82,8",186,328,"56,7",13,10.6,9.9,+2.4,93,185,107,60,243,
SPAL (3 stagioni),,2 campionati,,103.1,2270,2979,"76,2",34137,10348,1323,1501,"88,1",731,938,"77,9",141,302,"46,7",15,7.9,7.0,+7.1,82,120,98,76,149,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,177.3,6587,8177,"80,6",95983,27670,3779,4200,"90,0",2180,2687,"81,1",327,630,"51,9",22,18.5,16.9,+3.5,175,305,205,136,392,
Serie B (1 stagione),,,,37.0,,,,,,,,,,,,,,,6,,,,,,,,,
