,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2015-2016,2017-2018,2018-2019,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Getafe (5 stagioni),Nacional (3 stagioni),Napoli (2 stagioni),Albacete (1 stagione),,La Liga (5 stagioni),Uruguayan Primera División (3 stagioni),Serie A (2 stagioni),Segunda División (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2015-2016,17,Nacional,uy URU,1. Uruguayan Primera División,2°,2.0,,,,,,,,,,,,,,,,,Partite
2017-2018,19,Getafe,es ESP,1. La Liga,8°,1.1,2,"1,75",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,20,Albacete,es ESP,2. Segunda División,4°,14.1,18,"1,28",15,1,0,0,2,0,1,"0,07",1,0,0,0,0,0,Partite
2018-2019,20,Getafe,es ESP,1. La Liga,5°,11.2,20,"1,79",13,0,2,1,4,0,2,"0,18",1,0,0,0,1,0,Partite
2019-2020,21,Getafe,es ESP,1. La Liga,8°,20.8,28,"1,35",15,6,3,0,2,2,3,"0,14",1,1,1,0,0,0,Partite
2020-2021,22,Getafe,es ESP,1. La Liga,15°,29.0,42,"1,45",29,4,6,1,0,2,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,23,Getafe,es ESP,1. La Liga,15°,31.1,84,"2,70",54,8,3,5,9,5,4,"0,13",4,0,0,0,0,0,Partite
2022-2023,24,Napoli,it ITA,1. Serie A,1°,18.3,43,"2,35",37,3,1,1,0,1,3,"0,16",3,0,0,0,0,0,Partite
2023-2024,25,Napoli,it ITA,1. Serie A,9°,9.7,23,"2,37",20,1,0,1,0,1,2,"0,21",1,0,0,0,0,1,Partite
10 stagioni,4 club,,4 campionati,,137.4,260,"1,92",185,23,15,9,17,11,15,"0,11",11,1,1,0,1,1,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Getafe (5 stagioni),,1 campionato,,93.3,176,"1,89",113,18,14,7,15,9,9,"0,10",6,1,1,0,1,0,
Nacional (3 stagioni),,1 campionato,,2.0,,,,,,,,,,,,,,,,,
Napoli (2 stagioni),,1 campionato,,28.0,66,"2,36",57,4,1,2,0,2,5,"0,18",4,0,0,0,0,1,
Albacete (1 stagione),,1 campionato,,14.1,18,"1,28",15,1,0,0,2,0,1,"0,07",1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
La Liga (5 stagioni),,,,93.3,176,"1,89",113,18,14,7,15,9,9,"0,10",6,1,1,0,1,0,
Uruguayan Primera División (3 stagioni),,,,2.0,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,28.0,66,"2,36",57,4,1,2,0,2,5,"0,18",4,0,0,0,0,1,
Segunda División (1 stagione),,,,14.1,18,"1,28",15,1,0,0,2,0,1,"0,07",1,0,0,0,0,0,
