,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2015-2016,2017-2018,2018-2019,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Getafe (5 stagioni),Nacional (3 stagioni),Napoli (2 stagioni),Albacete (1 stagione),,La Liga (5 stagioni),Uruguayan Primera División (3 stagioni),Serie A (2 stagioni),Segunda División (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2015-2016,17,Nacional,uy URU,1. Uruguayan Primera División,2°,2.0,,,,,,,,,,,,,,,,Partite
2017-2018,19,Getafe,es ESP,1. La Liga,8°,1.1,31,30,0,0,0,0,1,0,0,0,0,0,11,1,2,Partite
2018-2019,20,Albacete,es ESP,2. Segunda División,4°,14.1,644,493,146,7,0,1,17,139,0,0,0,0,441,5,22,Partite
2018-2019,20,Getafe,es ESP,1. La Liga,5°,11.2,397,331,62,2,1,1,18,60,0,0,0,0,221,4,12,Partite
2019-2020,21,Getafe,es ESP,1. La Liga,8°,20.8,901,635,259,16,0,5,49,242,1,0,0,0,518,7,42,Partite
2020-2021,22,Getafe,es ESP,1. La Liga,15°,29.0,1168,880,282,15,0,6,64,267,0,0,0,0,783,6,35,Partite
2021-2022,23,Getafe,es ESP,1. La Liga,15°,31.1,1430,1094,332,21,0,6,63,311,0,0,0,0,1017,4,42,Partite
2022-2023,24,Napoli,it ITA,1. Serie A,1°,18.3,1381,1176,201,26,1,8,19,173,2,1,0,0,1200,4,19,Partite
2023-2024,25,Napoli,it ITA,1. Serie A,9°,9.7,646,542,103,14,0,4,21,89,0,0,0,0,559,1,15,Partite
10 stagioni,4 club,,4 campionati,,137.4,6598,5181,1385,101,2,31,252,1281,3,1,0,0,4750,32,189,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Getafe (5 stagioni),,1 campionato,,93.3,3927,2970,935,54,1,18,195,880,1,0,0,0,2550,22,133,
Nacional (3 stagioni),,1 campionato,,2.0,,,,,,,,,,,,,,,,
Napoli (2 stagioni),,1 campionato,,28.0,2027,1718,304,40,1,12,40,262,2,1,0,0,1759,5,34,
Albacete (1 stagione),,1 campionato,,14.1,644,493,146,7,0,1,17,139,0,0,0,0,441,5,22,
,,,,,,,,,,,,,,,,,,,,
La Liga (5 stagioni),,,,93.3,3927,2970,935,54,1,18,195,880,1,0,0,0,2550,22,133,
Uruguayan Primera División (3 stagioni),,,,2.0,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,28.0,2027,1718,304,40,1,12,40,262,2,1,0,0,1759,5,34,
Segunda División (1 stagione),,,,14.1,644,493,146,7,0,1,17,139,0,0,0,0,441,5,22,
