,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,RB Salzburg (3 stagioni),Wolfsburg (3 stagioni),Lecce (2 stagioni),Dortmund (1 stagione),1860 Munich (1 stagione),,Bundesliga (3 stagioni),Bundesliga (3 stagioni),Serie A (2 stagioni),2. Bundesliga (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,18,1860 Munich,de GER,2. 2. Bundesliga,16°,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,19,RB Salzburg,at AUT,1. Bundesliga,1°,14.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,20,RB Salzburg,at AUT,1. Bundesliga,1°,13.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,21,RB Salzburg,at AUT,1. Bundesliga,1°,4.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,21,Wolfsburg,de GER,1. Bundesliga,7°,10.3,497,595,"83,5",10990,3714,118,140,"84,3",293,326,"89,9",83,118,"70,3",0,0.0,0.3,0.0,0,35,1,0,48,Partite
2020-2021,22,Wolfsburg,de GER,1. Bundesliga,4°,6.4,273,321,"85,0",6078,2154,53,58,"91,4",174,196,"88,8",44,61,"72,1",0,0.0,0.2,0.0,0,16,0,0,20,Partite
2021-2022,23,Dortmund,de GER,1. Bundesliga,2°,9.2,545,635,"85,8",10328,3608,184,198,"92,9",300,337,"89,0",52,85,"61,2",0,0.0,0.1,0.0,1,23,1,0,31,Partite
2022-2023,24,Lecce,it ITA,1. Serie A,16°,8.8,296,361,"82,0",6388,2314,73,94,"77,7",171,195,"87,7",47,63,"74,6",0,0.1,0.0,-0.1,2,16,2,0,19,Partite
2023-2024,25,Lecce,it ITA,1. Serie A,15°,23.8,1048,1231,"85,1",23549,8611,228,269,"84,8",620,666,"93,1",193,271,"71,2",0,0.2,0.4,-0.2,6,71,4,0,81,Partite
8 stagioni,5 club,,4 campionati,,96.5,2659,3143,"84,6",57333,20401,656,759,"86,4",1558,1720,"90,6",419,598,"70,1",0,0.3,1.0,-0.3,9,161,8,0,199,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
RB Salzburg (3 stagioni),,1 campionato,,32.1,,,,,,,,,,,,,,,0,,,,,,,,,
Wolfsburg (3 stagioni),,1 campionato,,16.7,770,916,"84,1",17068,5868,171,198,"86,4",467,522,"89,5",127,179,"70,9",0,0.0,0.4,0.0,0,51,1,0,68,
Lecce (2 stagioni),,1 campionato,,32.5,1344,1592,"84,4",29937,10925,301,363,"82,9",791,861,"91,9",240,334,"71,9",0,0.3,0.5,-0.3,8,87,6,0,100,
Dortmund (1 stagione),,1 campionato,,9.2,545,635,"85,8",10328,3608,184,198,"92,9",300,337,"89,0",52,85,"61,2",0,0.0,0.1,0.0,1,23,1,0,31,
1860 Munich (1 stagione),,1 campionato,,6.0,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 stagioni),,,,25.9,1315,1551,"84,8",27396,9476,355,396,"89,6",767,859,"89,3",179,264,"67,8",0,0.0,0.5,0.0,1,74,2,0,99,
Bundesliga (3 stagioni),,,,32.1,,,,,,,,,,,,,,,0,,,,,,,,,
Serie A (2 stagioni),,,,32.5,1344,1592,"84,4",29937,10925,301,363,"82,9",791,861,"91,9",240,334,"71,9",0,0.3,0.5,-0.3,8,87,6,0,100,
2. Bundesliga (1 stagione),,,,6.0,,,,,,,,,,,,,,,0,,,,,,,,,
