,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,RB Salzburg (3 stagioni),Wolfsburg (3 stagioni),Lecce (2 stagioni),Dortmund (1 stagione),1860 Munich (1 stagione),,Bundesliga (3 stagioni),Bundesliga (3 stagioni),Serie A (2 stagioni),2. Bundesliga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,18,1860 Munich,de GER,2. 2. Bundesliga,16°,6.0,,,,,,,0,,,,,,,,,Partite
2017-2018,19,RB Salzburg,at AUT,1. Bundesliga,1°,14.6,,,,,,,2,,,,,,,,,Partite
2018-2019,20,RB Salzburg,at AUT,1. Bundesliga,1°,13.2,,,,,,,0,,,,,,,,,Partite
2019-2020,21,RB Salzburg,at AUT,1. Bundesliga,1°,4.3,,,,,,,0,,,,,,,,,Partite
2019-2020,21,Wolfsburg,de GER,1. Bundesliga,7°,10.3,595,570,25,24,1,7,0,1,0,0,0,0,497,0,3,Partite
2020-2021,22,Wolfsburg,de GER,1. Bundesliga,4°,6.4,321,308,13,12,0,1,0,1,0,0,0,0,273,0,3,Partite
2021-2022,23,Dortmund,de GER,1. Bundesliga,2°,9.2,635,622,12,10,0,3,0,1,0,0,0,0,545,1,4,Partite
2022-2023,24,Lecce,it ITA,1. Serie A,16°,8.8,361,324,37,37,0,3,0,0,0,0,0,0,296,0,1,Partite
2023-2024,25,Lecce,it ITA,1. Serie A,15°,23.8,1231,1135,93,88,0,6,0,4,0,0,0,0,1048,3,8,Partite
8 stagioni,5 club,,4 campionati,,96.5,3143,2959,180,171,1,20,2,7,0,0,0,0,2659,4,19,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
RB Salzburg (3 stagioni),,1 campionato,,32.1,,,,,,,2,,,,,,,,,
Wolfsburg (3 stagioni),,1 campionato,,16.7,916,878,38,36,1,8,0,2,0,0,0,0,770,0,6,
Lecce (2 stagioni),,1 campionato,,32.5,1592,1459,130,125,0,9,0,4,0,0,0,0,1344,3,9,
Dortmund (1 stagione),,1 campionato,,9.2,635,622,12,10,0,3,0,1,0,0,0,0,545,1,4,
1860 Munich (1 stagione),,1 campionato,,6.0,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 stagioni),,,,25.9,1551,1500,50,46,1,11,0,3,0,0,0,0,1315,1,10,
Bundesliga (3 stagioni),,,,32.1,,,,,,,2,,,,,,,,,
Serie A (2 stagioni),,,,32.5,1592,1459,130,125,0,9,0,4,0,0,0,0,1344,3,9,
2. Bundesliga (1 stagione),,,,6.0,,,,,,,0,,,,,,,,,
