,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Schalke 04 (4 stagioni),Schalke U19 (2 stagioni),Milan (2 stagioni),Schalke U17 (1 stagione),,Bundesliga (3 stagioni),U19 Bundesliga (2 stagioni),Serie A (2 stagioni),2. Bundesliga (1 stagione),U17 Bundesliga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10°,18.1,,,,,,,,,,,,,,,,,Partite
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6°,24.1,,,,,,,,,,,,,,,,,Partite
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16°,18.8,,,,,,,,,,,,,,,,,Partite
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12°,0.8,2,0,1,1,0,1,2,"50,0",1,2,2,0,2,4,4,1,Partite
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18°,16.1,42,27,24,17,1,15,26,"57,7",11,17,12,5,33,75,70,0,Partite
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1°,28.3,82,46,61,17,4,36,48,"75,0",12,33,21,12,51,133,113,0,Partite
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17°,3.0,3,1,2,1,0,1,2,"50,0",1,4,3,1,9,12,24,1,Partite
2022-2023,20,Milan,it ITA,1. Serie A,4°,15.1,31,26,22,9,0,11,20,"55,0",9,11,5,6,12,43,65,1,Partite
2023-2024,21,Milan,it ITA,1. Serie A,3°,12.4,18,14,7,9,2,7,14,"50,0",7,18,8,10,9,27,36,0,Partite
5 stagioni,2 club,,3 campionati,,75.8,178,114,117,54,7,71,112,"63,4",41,85,51,34,116,294,312,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Schalke 04 (4 stagioni),,2 campionati,,48.3,129,74,88,36,5,53,78,"67,9",25,56,38,18,95,224,211,2,
Schalke U19 (2 stagioni),,1 campionato,,42.9,,,,,,,,,,,,,,0,,,
Milan (2 stagioni),,1 campionato,,27.5,49,40,29,18,2,18,34,"52,9",16,29,13,16,21,70,101,1,
Schalke U17 (1 stagione),,1 campionato,,18.1,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 stagioni),,,,20.0,47,28,27,19,1,17,30,"56,7",13,23,17,6,44,91,98,2,
U19 Bundesliga (2 stagioni),,,,42.9,,,,,,,,,,,,,,0,,,
Serie A (2 stagioni),,,,27.5,49,40,29,18,2,18,34,"52,9",16,29,13,16,21,70,101,1,
2. Bundesliga (1 stagione),,,,28.3,82,46,61,17,4,36,48,"75,0",12,33,21,12,51,133,113,0,
U17 Bundesliga (1 stagione),,,,18.1,,,,,,,,,,,,,,0,,,
