,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Schalke 04 (4 stagioni),Schalke U19 (2 stagioni),Milan (2 stagioni),Schalke U17 (1 stagione),,Bundesliga (3 stagioni),U19 Bundesliga (2 stagioni),Serie A (2 stagioni),2. Bundesliga (1 stagione),U17 Bundesliga (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10°,18.1,,,,,,,,,,,,,,,,,,,,,,,,Partite
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6°,24.1,,,,,,,,,,,,,,,,,,,,,,,,Partite
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16°,18.8,,,,,,,,,,,,,,,,,,,,,,,,Partite
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12°,0.8,27,36,"75,0",445,170,13,15,"86,7",13,15,"86,7",1,6,"16,7",0,0.0,0.0,0.0,0,3,0,0,3,Partite
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18°,16.1,613,764,"80,2",11772,4068,206,243,"84,8",342,387,"88,4",58,109,"53,2",0,0.1,0.1,-0.1,2,22,1,0,28,Partite
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1°,28.3,1380,1652,"83,5",26900,10316,457,533,"85,7",754,827,"91,2",158,253,"62,5",0,0.9,0.5,-0.9,12,76,8,1,110,Partite
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17°,3.0,108,123,"87,8",2266,690,25,30,"83,3",72,79,"91,1",11,14,"78,6",0,0.0,0.0,0.0,0,4,0,0,3,Partite
2022-2023,20,Milan,it ITA,1. Serie A,4°,15.1,932,1056,"88,3",18898,6496,275,311,"88,4",541,576,"93,9",112,154,"72,7",0,0.2,0.2,-0.2,2,53,5,0,67,Partite
2023-2024,21,Milan,it ITA,1. Serie A,3°,12.4,759,836,"90,8",14411,4495,240,260,"92,3",463,485,"95,5",51,77,"66,2",1,0.1,0.2,+0.9,4,42,2,0,49,Partite
5 stagioni,2 club,,3 campionati,,75.8,3819,4467,"85,5",74692,26235,1216,1392,"87,4",2185,2369,"92,2",391,613,"63,8",1,1.3,1.1,-0.3,20,200,16,1,260,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Schalke 04 (4 stagioni),,2 campionati,,48.3,2128,2575,"82,6",41383,15244,701,821,"85,4",1181,1308,"90,3",228,382,"59,7",0,1.0,0.7,-1.0,14,105,9,1,144,
Schalke U19 (2 stagioni),,1 campionato,,42.9,,,,,,,,,,,,,,,,,,,,,,,,
Milan (2 stagioni),,1 campionato,,27.5,1691,1892,"89,4",33309,10991,515,571,"90,2",1004,1061,"94,6",163,231,"70,6",1,0.3,0.4,+0.7,6,95,7,0,116,
Schalke U17 (1 stagione),,1 campionato,,18.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 stagioni),,,,20.0,748,923,"81,0",14483,4928,244,288,"84,7",427,481,"88,8",70,129,"54,3",0,0.1,0.1,-0.1,2,29,1,0,34,
U19 Bundesliga (2 stagioni),,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,27.5,1691,1892,"89,4",33309,10991,515,571,"90,2",1004,1061,"94,6",163,231,"70,6",1,0.3,0.4,+0.7,6,95,7,0,116,
2. Bundesliga (1 stagione),,,,28.3,1380,1652,"83,5",26900,10316,457,533,"85,7",754,827,"91,2",158,253,"62,5",0,0.9,0.5,-0.9,12,76,8,1,110,
U17 Bundesliga (1 stagione),,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,
