,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Schalke 04 (4 stagioni),Schalke U19 (2 stagioni),Milan (2 stagioni),Schalke U17 (1 stagione),,Bundesliga (3 stagioni),U19 Bundesliga (2 stagioni),Serie A (2 stagioni),2. Bundesliga (1 stagione),U17 Bundesliga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10°,18.1,,,,,,,,,,,,,,,,Partite
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6°,24.1,,,,,,,,,,,,,,,,Partite
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16°,18.8,,,,,,,,,,,,,,,,Partite
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12°,0.8,36,36,0,0,0,1,0,0,0,0,0,0,27,0,0,Partite
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18°,16.1,764,713,49,20,0,5,2,29,0,0,0,0,613,2,10,Partite
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1°,28.3,1652,1600,52,46,1,19,6,6,0,0,0,0,1380,0,13,Partite
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17°,3.0,123,121,2,2,0,1,0,0,0,0,0,0,108,0,0,Partite
2022-2023,20,Milan,it ITA,1. Serie A,4°,15.1,1056,1037,19,12,0,4,2,5,0,0,0,0,932,0,5,Partite
2023-2024,21,Milan,it ITA,1. Serie A,3°,12.4,836,818,17,9,0,1,0,4,0,0,0,0,759,1,5,Partite
5 stagioni,2 club,,3 campionati,,75.8,4467,4325,139,89,1,31,10,44,0,0,0,0,3819,3,33,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Schalke 04 (4 stagioni),,2 campionati,,48.3,2575,2470,103,68,1,26,8,35,0,0,0,0,2128,2,23,
Schalke U19 (2 stagioni),,1 campionato,,42.9,,,,,,,,,,,,,,,,
Milan (2 stagioni),,1 campionato,,27.5,1892,1855,36,21,0,5,2,9,0,0,0,0,1691,1,10,
Schalke U17 (1 stagione),,1 campionato,,18.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 stagioni),,,,20.0,923,870,51,22,0,7,2,29,0,0,0,0,748,2,10,
U19 Bundesliga (2 stagioni),,,,42.9,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,27.5,1892,1855,36,21,0,5,2,9,0,0,0,0,1691,1,10,
2. Bundesliga (1 stagione),,,,28.3,1652,1600,52,46,1,19,6,6,0,0,0,0,1380,0,13,
U17 Bundesliga (1 stagione),,,,18.1,,,,,,,,,,,,,,,,
