,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2014-2015,,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Legia Warsaw (7 stagioni),Clermont Foot (2 stagioni),Górnik Zabrze (1 stagione),Cagliari (1 stagione),,Ekstraklasa (8 stagioni),Ligue 1 (2 stagioni),Serie A (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2014-2015,17,Legia Warsaw,pl POL,1. Ekstraklasa,2°,1.5,,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,19,Legia Warsaw,pl POL,1. Ekstraklasa,1°,1.0,,,,,,,,,,,,,,,,,Partite
2017-2018,20,Górnik Zabrze,pl POL,1. Ekstraklasa,4°,34.8,,,,,,,,,,,,,,,,,Partite
2018-2019,21,Legia Warsaw,pl POL,1. Ekstraklasa,2°,23.6,,,,,,,,,,,,,,,,,Partite
2019-2020,22,Legia Warsaw,pl POL,1. Ekstraklasa,1°,23.7,,,,,,,,,,,,,,,,,Partite
2020-2021,23,Legia Warsaw,pl POL,1. Ekstraklasa,1°,17.5,,,,,,,,,,,,,,,,,Partite
2021-2022,24,Legia Warsaw,pl POL,1. Ekstraklasa,10°,29.9,,,,,,,,,,,,,,,,,Partite
2022-2023,25,Legia Warsaw,pl POL,1. Ekstraklasa,2°,1.7,,,,,,,,,,,,,,,,,Partite
2022-2023,25,Clermont Foot,fr FRA,1. Ligue 1,8°,34.6,20,"0,58",15,0,1,3,1,0,3,"0,09",0,0,0,2,1,0,Partite
2023-2024,26,Clermont Foot,fr FRA,1. Ligue 1,18°,1.9,1,"0,51",1,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,26,Cagliari,it ITA,1. Serie A,19°,7.7,8,"1,03",7,0,0,0,0,1,1,"0,13",1,0,0,0,0,0,Partite
9 stagioni,4 club,,3 campionati,,178.0,29,"0,65",23,0,1,3,1,1,4,"0,09",1,0,0,2,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Legia Warsaw (7 stagioni),,1 campionato,,98.9,,,,,,,,,,,,,,,,,
Clermont Foot (2 stagioni),,1 campionato,,36.6,21,"0,57",16,0,1,3,1,0,3,"0,08",0,0,0,2,1,0,
Górnik Zabrze (1 stagione),,1 campionato,,34.8,,,,,,,,,,,,,,,,,
Cagliari (1 stagione),,1 campionato,,7.7,8,"1,03",7,0,0,0,0,1,1,"0,13",1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Ekstraklasa (8 stagioni),,,,133.7,,,,,,,,,,,,,,,,,
Ligue 1 (2 stagioni),,,,36.6,21,"0,57",16,0,1,3,1,0,3,"0,08",0,0,0,2,1,0,
Serie A (1 stagione),,,,7.7,8,"1,03",7,0,0,0,0,1,1,"0,13",1,0,0,0,0,0,
