,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Napoli (7 stagioni),Empoli (3 stagioni),Gubbio (1 stagione),Spezia (1 stagione),Roma (1 stagione),,Serie A (10 stagioni),Serie B (3 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2011-2012,20,Gubbio,it ITA,2. Serie B,21°,26.1,,,,,,,,,,,,,,,,
2012-2013,21,Spezia,it ITA,2. Serie B,13°,15.8,,,,,,,,,,,,,,,,
2013-2014,22,Empoli,it ITA,2. Serie B,2°,16.8,,,,,,,,,,,,,,,,
2014-2015,23,Empoli,it ITA,1. Serie A,15°,28.9,,,,,,,,,,,,,,,,Partite
2015-2016,24,Empoli,it ITA,1. Serie A,10°,36.0,,,,,,,,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,3.9,,,,,,,17,,,,,,,,,Partite
2017-2018,26,Napoli,it ITA,1. Serie A,2°,23.2,2176,1881,289,33,0,2,112,205,51,37,5,0,1846,6,42,Partite
2018-2019,27,Napoli,it ITA,1. Serie A,2°,15.7,1299,1139,157,20,2,13,85,128,9,1,6,0,1052,3,39,Partite
2019-2020,28,Napoli,it ITA,1. Serie A,7°,21.8,2003,1754,247,52,1,11,122,167,28,14,8,0,1637,2,41,Partite
2020-2021,29,Napoli,it ITA,1. Serie A,5°,18.5,1386,1181,199,53,1,5,83,125,21,10,4,0,1133,6,28,Partite
2021-2022,30,Napoli,it ITA,1. Serie A,3°,33.2,2461,2104,346,80,1,34,80,248,18,7,6,0,2073,11,35,Partite
2022-2023,31,Napoli,it ITA,1. Serie A,1°,19.4,1734,1427,300,70,2,30,110,188,42,15,19,0,1408,7,26,Partite
2023-2024,32,Napoli,it ITA,1. Serie A,9°,10.2,819,704,115,25,1,11,50,75,15,0,14,0,661,0,13,Partite
13 stagioni,5 club,,2 campionati,,269.6,11878,10190,1653,333,8,106,659,1136,184,84,62,0,9810,35,224,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Napoli (7 stagioni),,1 campionato,,142.2,11878,10190,1653,333,8,106,642,1136,184,84,62,0,9810,35,224,
Empoli (3 stagioni),,2 campionati,,81.7,,,,,,,,,,,,,,,,
Gubbio (1 stagione),,1 campionato,,26.1,,,,,,,,,,,,,,,,
Spezia (1 stagione),,1 campionato,,15.8,,,,,,,,,,,,,,,,
Roma (1 stagione),,1 campionato,,3.9,,,,,,,17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (10 stagioni),,,,211.0,11878,10190,1653,333,8,106,659,1136,184,84,62,0,9810,35,224,
Serie B (3 stagioni),,,,58.7,,,,,,,,,,,,,,,,
