,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2009-2010,2009-2010,2010-2011,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Bristol City (7 stagioni),Cheltenham (3 stagioni),Cardiff City (3 stagioni),Portsmouth (3 stagioni),Dag & Red (1 stagione),Wycombe (1 stagione),,Championship (8 stagioni),League One (5 stagioni),League Two (4 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2009-2010,18,Dag & Red,eng ENG,4. League Two,7°,16.2,,,,,,,,,,,,,,,,,Partite
2009-2010,18,Wycombe,eng ENG,3. League One,22°,6.8,,,,,,,,,,,,,,,,,Partite
2010-2011,19,Portsmouth,eng ENG,2. Championship,16°,0.1,,,,,,,,,,,,,,,,,
2010-2011,19,Cheltenham,eng ENG,4. League Two,17°,33.1,,,,,,,,,,,,,,,,,
2011-2012,20,Cheltenham,eng ENG,4. League Two,6°,42.2,,,,,,,,,,,,,,,,,
2012-2013,21,Cheltenham,eng ENG,4. League Two,5°,39.8,,,,,,,,,,,,,,,,,
2013-2014,22,Bristol City,eng ENG,3. League One,12°,34.5,,,,,,,,,,,,,,,,,
2014-2015,23,Bristol City,eng ENG,3. League One,1°,23.8,,,,,,,,,,,,,,,,,Partite
2015-2016,24,Bristol City,eng ENG,2. Championship,18°,44.1,,,,,,,,,,,,,,,,,Partite
2016-2017,25,Bristol City,eng ENG,2. Championship,17°,26.5,,,,,,,,,,,,,,,,,Partite
2017-2018,26,Bristol City,eng ENG,2. Championship,11°,35.1,,,,,,,,,,,,,,,,,Partite
2018-2019,27,Bristol City,eng ENG,2. Championship,8°,45.5,118,"2,59",89,10,3,7,7,2,7,"0,15",5,0,0,2,0,0,Partite
2019-2020,28,Bristol City,eng ENG,2. Championship,12°,1.0,1,"1,00",1,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,28,Cardiff City,eng ENG,2. Championship,5°,31.6,79,"2,50",48,24,2,2,3,0,8,"0,25",5,3,0,0,0,0,Partite
2020-2021,29,Cardiff City,eng ENG,2. Championship,8°,29.9,62,"2,07",33,26,0,2,1,0,3,"0,10",1,1,0,1,0,0,Partite
2021-2022,30,Cardiff City,eng ENG,2. Championship,18°,23.0,57,"2,48",36,16,1,1,2,1,5,"0,22",2,3,0,0,0,0,Partite
2022-2023,31,Portsmouth,eng ENG,3. League One,8°,30.7,,,,,,,,,,,,,,,,,Partite
2023-2024,32,Portsmouth,eng ENG,3. League One,1°,27.6,,,,,,,,,,,,,,,,,Partite
15 stagioni,6 club,,3 campionati,,491.5,317,"2,42",207,76,6,12,13,3,23,"0,18",13,7,0,3,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Bristol City (7 stagioni),,2 campionati,,210.5,119,"2,56",90,10,3,7,7,2,7,"0,15",5,0,0,2,0,0,
Cheltenham (3 stagioni),,1 campionato,,115.1,,,,,,,,,,,,,,,,,
Cardiff City (3 stagioni),,1 campionato,,84.5,198,"2,34",117,66,3,5,6,1,16,"0,19",8,7,0,1,0,0,
Portsmouth (3 stagioni),,2 campionati,,58.4,,,,,,,,,,,,,,,,,
Dag & Red (1 stagione),,1 campionato,,16.2,,,,,,,,,,,,,,,,,
Wycombe (1 stagione),,1 campionato,,6.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Championship (8 stagioni),,,,236.8,317,"2,42",207,76,6,12,13,3,23,"0,18",13,7,0,3,0,0,
League One (5 stagioni),,,,123.4,,,,,,,,,,,,,,,,,
League Two (4 stagioni),,,,131.4,,,,,,,,,,,,,,,,,
