,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Salernitana (4 stagioni),Perugia (2 stagioni),Catania (2 stagioni),Bari (1 stagione),Pescara (1 stagione),Terek Grozny (1 stagione),Roma (1 stagione),,Serie A (6 stagioni),Serie B (5 stagioni),Premier League (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,21,Catania,it ITA,1. Serie A,18°,16.0,,,,,,,,,,,,,,,,Partite
2014-2015,22,Catania,it ITA,2. Serie B,22°,7.3,,,,,,,,,,,,,,,,Partite
2015-2016,23,Roma,it ITA,1. Serie A,3°,1.1,,,,,,,,,,,,,,,,Partite
2016-2017,24,Terek Grozny,ru RUS,1. Premier League,5°,5.9,,,,,,,0,,,,,,,,,Partite
2016-2017,24,Pescara,it ITA,1. Serie A,20°,9.4,,,,,,,0,,,,,,,,,Partite
2017-2018,25,Bari,it ITA,2. Serie B,7°,27.3,,,,,,,0,,,,,,,,,Partite
2018-2019,26,Perugia,it ITA,2. Serie B,8°,29.9,1733,1658,73,57,0,29,5,16,0,0,0,0,1518,2,4,Partite
2019-2020,27,Perugia,it ITA,2. Serie B,16°,23.4,1392,1347,43,38,0,18,4,5,0,0,0,0,1185,2,5,Partite
2020-2021,28,Salernitana,it ITA,2. Serie B,2°,35.0,984,912,67,64,0,6,6,2,0,0,0,0,707,5,2,Partite
2021-2022,29,Salernitana,it ITA,1. Serie A,17°,28.5,1058,944,112,36,0,2,19,75,0,0,0,0,805,2,8,Partite
2022-2023,30,Salernitana,it ITA,1. Serie A,15°,19.3,744,710,34,29,0,5,5,4,0,0,0,0,621,0,4,Partite
2023-2024,31,Salernitana,it ITA,1. Serie A,20°,17.0,638,607,29,27,0,1,0,2,0,0,0,0,531,2,2,Partite
11 stagioni,7 club,,3 campionati,,220.0,6549,6178,358,251,0,61,39,104,0,0,0,0,5367,13,25,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Salernitana (4 stagioni),,2 campionati,,99.8,3424,3173,242,156,0,14,30,83,0,0,0,0,2664,9,16,
Perugia (2 stagioni),,1 campionato,,53.3,3125,3005,116,95,0,47,9,21,0,0,0,0,2703,4,9,
Catania (2 stagioni),,2 campionati,,23.3,,,,,,,,,,,,,,,,
Bari (1 stagione),,1 campionato,,27.3,,,,,,,0,,,,,,,,,
Pescara (1 stagione),,1 campionato,,9.4,,,,,,,0,,,,,,,,,
Terek Grozny (1 stagione),,1 campionato,,5.9,,,,,,,0,,,,,,,,,
Roma (1 stagione),,1 campionato,,1.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,91.3,2440,2261,175,92,0,8,24,81,0,0,0,0,1957,4,14,
Serie B (5 stagioni),,,,122.8,4109,3917,183,159,0,53,15,23,0,0,0,0,3410,9,11,
Premier League (1 stagione),,,,5.9,,,,,,,0,,,,,,,,,
