,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Sampdoria (6 stagioni),Cagliari (6 stagioni),Torino (1 stagione),,Serie A (11 stagioni),Serie B (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2011-2012,16,Cagliari,it ITA,1. Serie A,15°,0.3,,,,,,,,,,,,,,,,,Partite
2012-2013,17,Cagliari,it ITA,1. Serie A,11°,11.9,,,,,,,,,,,,,,,,,Partite
2013-2014,18,Cagliari,it ITA,1. Serie A,15°,19.8,,,,,,,,,,,,,,,,,Partite
2014-2015,19,Cagliari,it ITA,1. Serie A,18°,6.3,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Cagliari,it ITA,2. Serie B,1°,23.7,,,,,,,,,,,,,,,,,Partite
2016-2017,21,Cagliari,it ITA,1. Serie A,11°,24.1,,42,,,,,,,,,,,43,,,,Partite
2017-2018,22,Sampdoria,it ITA,1. Serie A,10°,16.1,40,31,18,18,4,24,38,"63,2",14,29,4,25,17,57,60,1,Partite
2018-2019,23,Sampdoria,it ITA,1. Serie A,9°,32.6,83,59,42,25,16,41,54,"75,9",13,50,22,28,41,124,99,0,Partite
2019-2020,24,Sampdoria,it ITA,1. Serie A,15°,25.1,40,22,24,8,8,21,41,"51,2",20,22,4,18,27,67,58,0,Partite
2020-2021,25,Torino,it ITA,1. Serie A,17°,6.3,9,6,1,5,3,3,5,"60,0",2,11,1,10,12,21,24,0,Partite
2021-2022,26,Sampdoria,it ITA,1. Serie A,15°,10.9,22,17,10,11,1,8,13,"61,5",5,17,3,14,7,29,20,1,Partite
2022-2023,27,Sampdoria,it ITA,1. Serie A,20°,8.7,24,14,15,8,1,7,13,"53,8",6,17,7,10,10,34,21,0,Partite
2023-2024,28,Sampdoria,it ITA,2. Serie B,11°,15.1,22,9,13,6,3,12,16,"75,0",4,18,7,11,23,45,46,0,Partite
13 stagioni,3 club,,2 campionati,,200.9,240,200,123,81,36,116,180,"64,4",64,164,48,116,180,377,328,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Sampdoria (6 stagioni),,2 campionati,,108.5,231,152,122,76,33,113,175,"64,6",62,153,47,106,125,356,304,2,
Cagliari (6 stagioni),,2 campionati,,86.1,,42,,,,,,,,,,,43,0,,,
Torino (1 stagione),,1 campionato,,6.3,9,6,1,5,3,3,5,"60,0",2,11,1,10,12,21,24,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (11 stagioni),,,,162.2,218,191,110,75,33,104,164,"63,4",60,146,41,105,157,332,282,2,
Serie B (2 stagioni),,,,38.7,22,9,13,6,3,12,16,"75,0",4,18,7,11,23,45,46,0,
