,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Sampdoria (6 stagioni),Cagliari (6 stagioni),Torino (1 stagione),,Serie A (11 stagioni),Serie B (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2011-2012,16,Cagliari,it ITA,1. Serie A,15°,0.3,,,,,,,,,,,,,,,,,Partite
2012-2013,17,Cagliari,it ITA,1. Serie A,11°,11.9,,,,,,,,,,,,,,,,,Partite
2013-2014,18,Cagliari,it ITA,1. Serie A,15°,19.8,,,,,,,,,,,,,,,,,Partite
2014-2015,19,Cagliari,it ITA,1. Serie A,18°,6.3,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Cagliari,it ITA,2. Serie B,1°,23.7,,,,,,,,,,,,,,,,,Partite
2016-2017,21,Cagliari,it ITA,1. Serie A,11°,24.1,,,,,,,,,,,,,,,,,Partite
2017-2018,22,Sampdoria,it ITA,1. Serie A,10°,16.1,24,"1,49",18,2,2,0,1,1,2,"0,12",2,0,0,0,0,0,Partite
2018-2019,23,Sampdoria,it ITA,1. Serie A,9°,32.6,58,"1,78",50,5,1,1,0,1,7,"0,21",6,0,0,1,0,0,Partite
2019-2020,24,Sampdoria,it ITA,1. Serie A,15°,25.1,50,"1,99",39,8,2,0,1,0,1,"0,04",0,1,0,0,0,0,Partite
2020-2021,25,Torino,it ITA,1. Serie A,17°,6.3,14,"2,21",7,1,3,2,1,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,26,Sampdoria,it ITA,1. Serie A,15°,10.9,13,"1,19",9,3,0,0,0,1,1,"0,09",1,0,0,0,0,0,Partite
2022-2023,27,Sampdoria,it ITA,1. Serie A,20°,8.7,5,"0,57",3,2,0,0,0,0,1,"0,11",0,1,0,0,0,0,Partite
2023-2024,28,Sampdoria,it ITA,2. Serie B,11°,15.1,10,"0,66",8,1,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
13 stagioni,3 club,,2 campionati,,200.9,174,"1,52",134,22,8,3,3,4,12,"0,10",9,2,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Sampdoria (6 stagioni),,2 campionati,,108.5,160,"1,47",127,21,5,1,2,4,12,"0,11",9,2,0,1,0,0,
Cagliari (6 stagioni),,2 campionati,,86.1,,,,,,,,,,,,,,,,,
Torino (1 stagione),,1 campionato,,6.3,14,"2,21",7,1,3,2,1,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (11 stagioni),,,,162.2,164,"1,64",126,21,8,3,3,3,12,"0,12",9,2,0,1,0,0,
Serie B (2 stagioni),,,,38.7,10,"0,66",8,1,0,0,0,1,0,"0,00",0,0,0,0,0,0,
