,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Udinese (3 stagioni),Atlético Madrid (3 stagioni),Argentinos Jun (2 stagioni),Famalicão (1 stagione),Granada (1 stagione),,Serie A (3 stagioni),La Liga (3 stagioni),Primera Div (2 stagioni),Primeira Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2018-2019,18,Argentinos Jun,ar ARG,1. Primera Div,26°,2.1,8,4,5,3,0,2,2,"100,0",0,4,3,1,2,10,9,0,Partite
2019-2020,19,Famalicão,pt POR,1. Primeira Liga,6°,22.4,38,26,25,12,1,17,26,"65,4",9,29,25,4,25,63,87,0,Partite
2020-2021,20,Granada,es ESP,1. La Liga,9°,8.2,6,3,6,0,0,4,6,"66,7",2,5,4,1,12,18,33,0,Partite
2021-2022,21,Udinese,it ITA,1. Serie A,12°,18.8,44,21,21,21,2,16,25,"64,0",9,27,9,18,21,65,47,0,Partite
2022-2023,22,Udinese,it ITA,1. Serie A,12°,31.3,77,40,54,20,3,39,55,"70,9",16,53,23,30,35,112,106,1,Partite
2023-2024,23,Udinese,it ITA,1. Serie A,14°,27.0,56,37,33,21,2,30,36,"83,3",6,36,17,19,34,90,123,0,Partite
7 stagioni,5 club,,4 campionati,,109.8,229,131,144,77,8,108,150,"72,0",42,154,81,73,129,358,405,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Udinese (3 stagioni),,1 campionato,,77.1,177,98,108,62,7,85,116,"73,3",31,116,49,67,90,267,276,1,
Atlético Madrid (3 stagioni),,1 campionato,,,,,,,,,,,,,,,,0,,,
Argentinos Jun (2 stagioni),,1 campionato,,2.1,8,4,5,3,0,2,2,"100,0",0,4,3,1,2,10,9,0,
Famalicão (1 stagione),,1 campionato,,22.4,38,26,25,12,1,17,26,"65,4",9,29,25,4,25,63,87,0,
Granada (1 stagione),,1 campionato,,8.2,6,3,6,0,0,4,6,"66,7",2,5,4,1,12,18,33,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,77.1,177,98,108,62,7,85,116,"73,3",31,116,49,67,90,267,276,1,
La Liga (3 stagioni),,,,8.2,6,3,6,0,0,4,6,"66,7",2,5,4,1,12,18,33,0,
Primera Div (2 stagioni),,,,2.1,8,4,5,3,0,2,2,"100,0",0,4,3,1,2,10,9,0,
Primeira Liga (1 stagione),,,,22.4,38,26,25,12,1,17,26,"65,4",9,29,25,4,25,63,87,0,
