,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Torino (4 stagioni),Chelsea (2 stagioni),Hull City (1 stagione),Fulham (1 stagione),Nott'ham Forest (1 stagione),Chelsea (1 stagione),,Serie A (4 stagioni),Premier League (4 stagioni),Championship (1 stagione),PL2 — Div. 1 (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,19,Chelsea,eng ENG,1. Premier League,1°,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5°,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,20,Hull City,eng ENG,2. Championship,18°,42.5,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2018-2019,21,Torino,it ITA,1. Serie A,7°,24.0,861,1178,"73,1",13729,5830,465,525,"88,6",268,395,"67,8",88,159,"55,3",3,2.5,2.2,+0.5,25,53,30,11,97,Partite
2019-2020,22,Torino,it ITA,1. Serie A,16°,23.1,862,1185,"72,7",13825,5497,488,564,"86,5",282,379,"74,4",77,175,"44,0",2,2.5,1.9,-0.5,22,57,17,13,80,Partite
2020-2021,23,Fulham,eng ENG,1. Premier League,18°,29.6,1352,1769,"76,4",22797,9159,642,717,"89,5",565,704,"80,3",112,257,"43,6",1,1.5,1.2,-0.5,15,92,15,9,106,Partite
2021-2022,24,Torino,it ITA,1. Serie A,10°,16.0,535,755,"70,9",8693,3540,272,316,"86,1",202,280,"72,1",44,93,"47,3",0,1.8,1.4,-1.8,16,43,20,4,68,Partite
2022-2023,25,Torino,it ITA,1. Serie A,10°,9.7,402,544,"73,9",6725,2554,210,232,"90,5",130,173,"75,1",48,93,"51,6",1,2.1,1.9,-1.1,12,35,14,9,43,Partite
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17°,11.0,290,392,"74,0",4606,1841,154,173,"89,0",112,143,"78,3",18,50,"36,0",1,0.5,0.4,+0.5,5,22,3,1,30,Partite
9 stagioni,5 club,,3 campionati,,156.2,4302,5823,"73,9",70375,28421,2231,2527,"88,3",1559,2074,"75,2",387,827,"46,8",11,10.9,8.9,+0.1,95,302,99,47,424,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Torino (4 stagioni),,1 campionato,,72.8,2660,3662,"72,6",42972,17421,1435,1637,"87,7",882,1227,"71,9",257,520,"49,4",6,8.9,7.3,-2.9,75,188,81,37,288,
Chelsea (2 stagioni),,1 campionato,,0.3,,,,,,,,,,,,,,,0,,,,,,,,,
Hull City (1 stagione),,1 campionato,,42.5,,,,,,,,,,,,,,,3,,,,,,,,,
Fulham (1 stagione),,1 campionato,,29.6,1352,1769,"76,4",22797,9159,642,717,"89,5",565,704,"80,3",112,257,"43,6",1,1.5,1.2,-0.5,15,92,15,9,106,
Nott'ham Forest (1 stagione),,1 campionato,,11.0,290,392,"74,0",4606,1841,154,173,"89,0",112,143,"78,3",18,50,"36,0",1,0.5,0.4,+0.5,5,22,3,1,30,
Chelsea (1 stagione),,1 campionato,,3.0,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,72.8,2660,3662,"72,6",42972,17421,1435,1637,"87,7",882,1227,"71,9",257,520,"49,4",6,8.9,7.3,-2.9,75,188,81,37,288,
Premier League (4 stagioni),,,,40.9,1642,2161,"76,0",27403,11000,796,890,"89,4",677,847,"79,9",130,307,"42,3",2,2.1,1.6,-0.1,20,114,18,10,136,
Championship (1 stagione),,,,42.5,,,,,,,,,,,,,,,3,,,,,,,,,
PL2 — Div. 1 (1 stagione),,,,3.0,,,,,,,,,,,,,,,0,,,,,,,,,
