,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Torino (4 stagioni),Chelsea (2 stagioni),Hull City (1 stagione),Fulham (1 stagione),Nott'ham Forest (1 stagione),Chelsea (1 stagione),,Serie A (4 stagioni),Premier League (4 stagioni),Championship (1 stagione),PL2 — Div. 1 (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,19,Chelsea,eng ENG,1. Premier League,1°,0.3,,,,,,,0,,,,,,,,,Partite
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5°,3.0,,,,,,,,,,,,,,,,Partite
2017-2018,20,Hull City,eng ENG,2. Championship,18°,42.5,,,,,,,98,,,,,,,,,Partite
2018-2019,21,Torino,it ITA,1. Serie A,7°,24.0,1178,919,257,18,2,7,63,238,1,0,0,0,861,2,44,Partite
2019-2020,22,Torino,it ITA,1. Serie A,16°,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27,Partite
2020-2021,23,Fulham,eng ENG,1. Premier League,18°,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,Partite
2021-2022,24,Torino,it ITA,1. Serie A,10°,16.0,755,600,151,9,1,0,34,142,0,0,0,0,535,4,30,Partite
2022-2023,25,Torino,it ITA,1. Serie A,10°,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17,Partite
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17°,11.0,392,324,67,6,1,0,11,61,0,0,0,0,290,1,9,Partite
9 stagioni,5 club,,3 campionati,,156.2,5823,4697,1108,83,5,28,355,1017,8,0,0,0,4302,18,161,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Torino (4 stagioni),,1 campionato,,72.8,3662,2887,759,49,4,15,194,702,8,0,0,0,2660,16,118,
Chelsea (2 stagioni),,1 campionato,,0.3,,,,,,,0,,,,,,,,,
Hull City (1 stagione),,1 campionato,,42.5,,,,,,,98,,,,,,,,,
Fulham (1 stagione),,1 campionato,,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,
Nott'ham Forest (1 stagione),,1 campionato,,11.0,392,324,67,6,1,0,11,61,0,0,0,0,290,1,9,
Chelsea (1 stagione),,1 campionato,,3.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,72.8,3662,2887,759,49,4,15,194,702,8,0,0,0,2660,16,118,
Premier League (4 stagioni),,,,40.9,2161,1810,349,34,1,13,63,315,0,0,0,0,1642,2,43,
Championship (1 stagione),,,,42.5,,,,,,,98,,,,,,,,,
PL2 — Div. 1 (1 stagione),,,,3.0,,,,,,,,,,,,,,,,
