,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2014-2015,,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Venezia (4 stagioni),Spezia (3 stagioni),Palermo (1 stagione),Padova (1 stagione),Lecce (1 stagione),,Serie B (8 stagioni),Serie A (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2014-2015,18,Spezia,it ITA,2. Serie B,5°,0.3,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,
2016-2017,20,Spezia,it ITA,2. Serie B,8°,15.3,,,,,,,,,,,,,,,,Partite
2017-2018,21,Spezia,it ITA,2. Serie B,10°,10.0,,,,,,,0,,,,,,,,,Partite
2018-2019,22,Padova,it ITA,2. Serie B,18°,11.6,524,436,86,6,0,0,20,80,0,0,0,0,395,2,9,Partite
2019-2020,23,Venezia,it ITA,2. Serie B,11°,29.3,2164,1844,316,72,0,12,68,240,4,1,3,0,1746,4,41,Partite
2020-2021,24,Venezia,it ITA,2. Serie B,5°,37.0,2253,2146,101,94,0,8,5,4,0,0,0,0,1964,6,15,Partite
2021-2022,25,Venezia,it ITA,1. Serie A,20°,34.7,1720,1614,105,59,0,1,12,44,0,0,0,0,1414,1,29,Partite
2022-2023,26,Venezia,it ITA,2. Serie B,8°,19.8,1350,1285,62,31,0,3,12,31,0,0,0,0,1139,3,19,Partite
2022-2023,26,Lecce,it ITA,1. Serie A,16°,0.5,14,10,4,1,0,0,0,3,0,0,0,0,10,0,0,Partite
2023-2024,27,Palermo,it ITA,2. Serie B,5°,21.0,1232,1128,101,47,0,2,15,11,0,0,0,0,1069,3,15,Partite
9 stagioni,5 club,,2 campionati,,179.4,9257,8463,775,310,0,26,132,413,4,1,3,0,7737,19,128,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Venezia (4 stagioni),,2 campionati,,120.8,7487,6889,584,256,0,24,97,319,4,1,3,0,6263,14,104,
Spezia (3 stagioni),,1 campionato,,25.6,,,,,,,0,,,,,,,,,
Palermo (1 stagione),,1 campionato,,21.0,1232,1128,101,47,0,2,15,11,0,0,0,0,1069,3,15,
Padova (1 stagione),,1 campionato,,11.6,524,436,86,6,0,0,20,80,0,0,0,0,395,2,9,
Lecce (1 stagione),,1 campionato,,0.5,14,10,4,1,0,0,0,3,0,0,0,0,10,0,0,
,,,,,,,,,,,,,,,,,,,,
Serie B (8 stagioni),,,,144.3,7523,6839,666,250,0,25,120,366,4,1,3,0,6313,18,99,
Serie A (2 stagioni),,,,35.2,1734,1624,109,60,0,1,12,47,0,0,0,0,1424,1,29,
