,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Sassuolo (3 stagioni),Marseille (3 stagioni),Fiorentina (2 stagioni),Frosinone (1 stagione),Elche (1 stagione),,Serie A (6 stagioni),Ligue 1 (3 stagioni),La Liga (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,18,Sassuolo,it ITA,1. Serie A,12°,17.2,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2017-2018,19,Sassuolo,it ITA,1. Serie A,11°,22.5,648,947,"68,4",11790,5507,303,359,"84,4",272,358,"76,0",62,182,"34,1",2,1.4,1.1,+0.6,18,73,14,9,70,Partite
2018-2019,20,Sassuolo,it ITA,1. Serie A,11°,33.1,1355,1778,"76,2",20827,8151,722,815,"88,6",504,651,"77,4",80,173,"46,2",6,6.3,4.6,-0.3,40,102,33,22,129,Partite
2019-2020,21,Fiorentina,it ITA,1. Serie A,10°,29.4,956,1300,"73,5",15242,5684,500,579,"86,4",335,436,"76,8",82,192,"42,7",2,3.2,3.4,-1.2,35,74,27,8,104,Partite
2020-2021,22,Fiorentina,it ITA,1. Serie A,13°,5.5,204,284,"71,8",3261,1129,98,123,"79,7",81,109,"74,3",14,31,"45,2",1,0.7,0.6,+0.3,6,14,7,2,21,Partite
2020-2021,22,Marseille,fr FRA,1. Ligue 1,5°,17.3,624,821,"76,0",9641,3120,364,420,"86,7",185,242,"76,4",49,97,"50,5",2,2.2,2.3,-0.2,19,35,19,6,55,Partite
2021-2022,23,Marseille,fr FRA,1. Ligue 1,2°,19.7,894,1112,"80,4",13350,3366,494,553,"89,3",285,343,"83,1",58,101,"57,4",2,2.8,3.7,-0.8,26,56,32,15,82,Partite
2022-2023,24,Elche,es ESP,1. La Liga,20°,7.0,240,325,"73,8",3762,1309,135,154,"87,7",79,107,"73,8",16,38,"42,1",0,0.7,0.6,-0.7,6,10,3,2,19,Partite
2023-2024,25,Frosinone,it ITA,1. Serie A,16°,7.5,264,360,"73,3",4263,1352,141,164,"86,0",92,125,"73,6",25,48,"52,1",1,0.8,0.7,+0.2,8,18,10,3,27,Partite
8 stagioni,5 club,,3 campionati,,159.1,5185,6927,"74,9",82136,29618,2757,3167,"87,1",1833,2371,"77,3",386,862,"44,8",19,18.1,16.9,+0.9,158,382,145,67,507,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Sassuolo (3 stagioni),,1 campionato,,72.8,2003,2725,"73,5",32617,13658,1025,1174,"87,3",776,1009,"76,9",142,355,"40,0",11,7.7,5.7,+3.3,58,175,47,31,199,
Marseille (3 stagioni),,1 campionato,,36.9,1518,1933,"78,5",22991,6486,858,973,"88,2",470,585,"80,3",107,198,"54,0",4,5.0,5.9,-1.0,45,91,51,21,137,
Fiorentina (2 stagioni),,1 campionato,,35.0,1160,1584,"73,2",18503,6813,598,702,"85,2",416,545,"76,3",96,223,"43,0",3,3.9,4.0,-0.9,41,88,34,10,125,
Frosinone (1 stagione),,1 campionato,,7.5,264,360,"73,3",4263,1352,141,164,"86,0",92,125,"73,6",25,48,"52,1",1,0.8,0.7,+0.2,8,18,10,3,27,
Elche (1 stagione),,1 campionato,,7.0,240,325,"73,8",3762,1309,135,154,"87,7",79,107,"73,8",16,38,"42,1",0,0.7,0.6,-0.7,6,10,3,2,19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,115.2,3427,4669,"73,4",55383,21823,1764,2040,"86,5",1284,1679,"76,5",263,626,"42,0",15,12.3,10.4,+2.7,107,281,91,44,351,
Ligue 1 (3 stagioni),,,,36.9,1518,1933,"78,5",22991,6486,858,973,"88,2",470,585,"80,3",107,198,"54,0",4,5.0,5.9,-1.0,45,91,51,21,137,
La Liga (1 stagione),,,,7.0,240,325,"73,8",3762,1309,135,154,"87,7",79,107,"73,8",16,38,"42,1",0,0.7,0.6,-0.7,6,10,3,2,19,
