,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sassuolo (3 stagioni),Marseille (3 stagioni),Fiorentina (2 stagioni),Frosinone (1 stagione),Elche (1 stagione),,Serie A (6 stagioni),Ligue 1 (3 stagioni),La Liga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,18,Sassuolo,it ITA,1. Serie A,12°,17.2,,,,,,,64,,,,,,,,,Partite
2017-2018,19,Sassuolo,it ITA,1. Serie A,11°,22.5,947,766,176,8,2,4,84,168,0,0,0,0,648,5,41,Partite
2018-2019,20,Sassuolo,it ITA,1. Serie A,11°,33.1,1778,1472,299,33,1,12,125,266,0,0,0,0,1355,7,67,Partite
2019-2020,21,Fiorentina,it ITA,1. Serie A,10°,29.4,1300,1105,191,16,1,10,80,175,0,0,0,0,956,4,39,Partite
2020-2021,22,Fiorentina,it ITA,1. Serie A,13°,5.5,284,237,45,3,0,2,22,42,0,0,0,0,204,2,4,Partite
2020-2021,22,Marseille,fr FRA,1. Ligue 1,5°,17.3,821,661,159,11,0,14,58,148,0,0,0,0,624,1,25,Partite
2021-2022,23,Marseille,fr FRA,1. Ligue 1,2°,19.7,1112,962,147,12,3,5,71,133,2,1,0,0,894,3,35,Partite
2022-2023,24,Elche,es ESP,1. La Liga,20°,7.0,325,260,65,6,0,3,32,59,0,0,0,0,240,0,11,Partite
2023-2024,25,Frosinone,it ITA,1. Serie A,16°,7.5,360,295,63,3,1,1,16,60,0,0,0,0,264,2,10,Partite
8 stagioni,5 club,,3 campionati,,159.1,6927,5758,1145,92,8,51,552,1051,2,1,0,0,5185,24,232,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sassuolo (3 stagioni),,1 campionato,,72.8,2725,2238,475,41,3,16,273,434,0,0,0,0,2003,12,108,
Marseille (3 stagioni),,1 campionato,,36.9,1933,1623,306,23,3,19,129,281,2,1,0,0,1518,4,60,
Fiorentina (2 stagioni),,1 campionato,,35.0,1584,1342,236,19,1,12,102,217,0,0,0,0,1160,6,43,
Frosinone (1 stagione),,1 campionato,,7.5,360,295,63,3,1,1,16,60,0,0,0,0,264,2,10,
Elche (1 stagione),,1 campionato,,7.0,325,260,65,6,0,3,32,59,0,0,0,0,240,0,11,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,115.2,4669,3875,774,63,5,29,391,711,0,0,0,0,3427,20,161,
Ligue 1 (3 stagioni),,,,36.9,1933,1623,306,23,3,19,129,281,2,1,0,0,1518,4,60,
La Liga (1 stagione),,,,7.0,325,260,65,6,0,3,32,59,0,0,0,0,240,0,11,
