,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Salernitana (3 stagioni),Perugia (2 stagioni),Venezia (2 stagioni),Parma (1 stagione),Napoli (1 stagione),,Serie B (4 stagioni),Serie A (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,22,Parma,it ITA,2. Serie B,2°,14.7,,0,,,,,,,,,,,0,,,,Partite
2018-2019,23,Perugia,it ITA,2. Serie B,8°,23.1,35,27,24,5,6,17,33,"51,5",16,17,4,13,26,61,59,2,Partite
2019-2020,24,Perugia,it ITA,2. Serie B,16°,21.6,29,17,18,7,4,17,30,"56,7",13,20,5,15,24,53,54,1,Partite
2020-2021,25,Venezia,it ITA,2. Serie B,5°,30.4,54,31,27,17,10,18,42,"42,9",24,27,6,21,38,92,67,0,Partite
2021-2022,26,Venezia,it ITA,1. Serie A,20°,13.8,18,8,11,4,3,10,26,"38,5",16,11,8,3,21,39,31,1,Partite
2021-2022,26,Salernitana,it ITA,1. Serie A,17°,14.1,28,19,15,11,2,14,34,"41,2",20,5,0,5,11,39,31,0,Partite
2022-2023,27,Salernitana,it ITA,1. Serie A,15°,21.8,32,18,21,5,6,17,37,"45,9",20,10,2,8,10,42,37,2,Partite
2023-2024,28,Salernitana,it ITA,1. Serie A,20°,14.1,25,19,14,10,1,16,29,"55,2",13,14,6,8,5,30,31,0,Partite
2023-2024,28,Napoli,it ITA,1. Serie A,9°,3.1,4,2,1,2,1,2,2,"100,0",0,2,0,2,1,5,8,0,Partite
7 stagioni,5 club,,2 campionati,,156.7,225,141,131,61,33,111,233,"47,6",122,106,31,75,136,361,318,6,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Salernitana (3 stagioni),,1 campionato,,50.0,85,56,50,26,9,47,100,"47,0",53,29,8,21,26,111,99,2,
Perugia (2 stagioni),,1 campionato,,44.8,64,44,42,12,10,34,63,"54,0",29,37,9,28,50,114,113,3,
Venezia (2 stagioni),,2 campionati,,44.2,72,39,38,21,13,28,68,"41,2",40,38,14,24,59,131,98,1,
Parma (1 stagione),,1 campionato,,14.7,,0,,,,,,,,,,,0,0,,,
Napoli (1 stagione),,1 campionato,,3.1,4,2,1,2,1,2,2,"100,0",0,2,0,2,1,5,8,0,
,,,,,,,,,,,,,,,,,,,,,
Serie B (4 stagioni),,,,89.8,118,75,69,29,20,52,105,"49,5",53,64,15,49,88,206,180,3,
Serie A (3 stagioni),,,,66.9,107,66,62,32,13,59,128,"46,1",69,42,16,26,48,155,138,3,
