,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Salernitana (3 stagioni),Perugia (2 stagioni),Venezia (2 stagioni),Parma (1 stagione),Napoli (1 stagione),,Serie B (4 stagioni),Serie A (3 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017-2018,22,Parma,it ITA,2. Serie B,2°,14.7,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2018-2019,23,Perugia,it ITA,2. Serie B,8°,23.1,1015,1284,"79,0",17433,5873,476,539,"88,3",424,534,"79,4",95,155,"61,3",4,1.4,1.3,+2.6,19,68,25,11,86,Partite
2019-2020,24,Perugia,it ITA,2. Serie B,16°,21.6,754,1049,"71,9",12796,4966,359,436,"82,3",312,407,"76,7",63,136,"46,3",2,2.6,3.7,-0.6,32,43,31,22,64,Partite
2020-2021,25,Venezia,it ITA,2. Serie B,5°,30.4,1180,1593,"74,1",19790,7533,582,652,"89,3",481,626,"76,8",93,234,"39,7",1,2.3,3.8,-1.3,28,80,45,27,111,Partite
2021-2022,26,Venezia,it ITA,1. Serie A,20°,13.8,446,596,"74,8",7334,2607,241,272,"88,6",154,211,"73,0",43,80,"53,8",0,0.4,0.5,-0.4,5,26,7,3,33,Partite
2021-2022,26,Salernitana,it ITA,1. Serie A,17°,14.1,416,579,"71,8",7213,2846,199,231,"86,1",164,220,"74,5",43,100,"43,0",2,1.6,1.4,+0.4,18,24,17,12,40,Partite
2022-2023,27,Salernitana,it ITA,1. Serie A,15°,21.8,702,949,"74,0",11136,3985,379,417,"90,9",245,339,"72,3",56,122,"45,9",3,2.6,2.0,+0.4,30,37,21,12,60,Partite
2023-2024,28,Salernitana,it ITA,1. Serie A,20°,14.1,460,635,"72,4",6631,3051,276,317,"87,1",149,210,"71,0",20,68,"29,4",1,1.3,1.0,-0.3,14,30,16,10,36,Partite
2023-2024,28,Napoli,it ITA,1. Serie A,9°,3.1,154,193,"79,8",2287,726,105,116,"90,5",42,60,"70,0",7,14,"50,0",1,0.0,0.1,+1.0,1,12,1,0,13,Partite
7 stagioni,5 club,,2 campionati,,156.7,5127,6878,"74,5",84620,31587,2617,2980,"87,8",1971,2607,"75,6",420,909,"46,2",15,12.3,13.8,+2.7,147,320,163,97,443,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Salernitana (3 stagioni),,1 campionato,,50.0,1578,2163,"73,0",24980,9882,854,965,"88,5",558,769,"72,6",119,290,"41,0",6,5.4,4.4,+0.6,62,91,54,34,136,
Perugia (2 stagioni),,1 campionato,,44.8,1769,2333,"75,8",30229,10839,835,975,"85,6",736,941,"78,2",158,291,"54,3",6,4.1,5.0,+1.9,51,111,56,33,150,
Venezia (2 stagioni),,2 campionati,,44.2,1626,2189,"74,3",27124,10140,823,924,"89,1",635,837,"75,9",136,314,"43,3",1,2.8,4.3,-1.8,33,106,52,30,144,
Parma (1 stagione),,1 campionato,,14.7,,,,,,,,,,,,,,,1,,,,,,,,,
Napoli (1 stagione),,1 campionato,,3.1,154,193,"79,8",2287,726,105,116,"90,5",42,60,"70,0",7,14,"50,0",1,0.0,0.1,+1.0,1,12,1,0,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie B (4 stagioni),,,,89.8,2949,3926,"75,1",50019,18372,1417,1627,"87,1",1217,1567,"77,7",251,525,"47,8",8,6.4,8.7,+1.6,79,191,101,60,261,
Serie A (3 stagioni),,,,66.9,2178,2952,"73,8",34601,13215,1200,1353,"88,7",754,1040,"72,5",169,384,"44,0",7,5.9,5.0,+1.1,68,129,62,37,182,
