,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Salernitana (3 stagioni),Perugia (2 stagioni),Venezia (2 stagioni),Parma (1 stagione),Napoli (1 stagione),,Serie B (4 stagioni),Serie A (3 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,22,Parma,it ITA,2. Serie B,2°,14.7,,,,,,,0,,,,,,,,,Partite
2018-2019,23,Perugia,it ITA,2. Serie B,8°,23.1,1284,1047,234,19,2,20,71,209,6,1,4,0,1015,3,27,Partite
2019-2020,24,Perugia,it ITA,2. Serie B,16°,21.6,1049,828,215,12,0,8,116,190,13,3,6,0,754,6,36,Partite
2020-2021,25,Venezia,it ITA,2. Serie B,5°,30.4,1593,1244,343,36,1,11,142,307,0,0,0,0,1180,6,35,Partite
2021-2022,26,Venezia,it ITA,1. Serie A,20°,13.8,596,473,121,7,2,4,46,114,0,0,0,0,446,2,16,Partite
2021-2022,26,Salernitana,it ITA,1. Serie A,17°,14.1,579,452,127,11,0,3,79,98,17,0,16,0,416,0,12,Partite
2022-2023,27,Salernitana,it ITA,1. Serie A,15°,21.8,949,726,219,13,2,6,90,185,21,2,17,0,702,4,29,Partite
2023-2024,28,Salernitana,it ITA,1. Serie A,20°,14.1,635,502,131,11,1,4,42,119,1,0,1,0,460,2,17,Partite
2023-2024,28,Napoli,it ITA,1. Serie A,9°,3.1,193,169,24,2,2,2,9,22,0,0,0,0,154,0,1,Partite
7 stagioni,5 club,,2 campionati,,156.7,6878,5441,1414,111,10,58,595,1244,58,6,44,0,5127,23,173,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Salernitana (3 stagioni),,1 campionato,,50.0,2163,1680,477,35,3,13,211,402,39,2,34,0,1578,6,58,
Perugia (2 stagioni),,1 campionato,,44.8,2333,1875,449,31,2,28,187,399,19,4,10,0,1769,9,63,
Venezia (2 stagioni),,2 campionati,,44.2,2189,1717,464,43,3,15,188,421,0,0,0,0,1626,8,51,
Parma (1 stagione),,1 campionato,,14.7,,,,,,,0,,,,,,,,,
Napoli (1 stagione),,1 campionato,,3.1,193,169,24,2,2,2,9,22,0,0,0,0,154,0,1,
,,,,,,,,,,,,,,,,,,,,
Serie B (4 stagioni),,,,89.8,3926,3119,792,67,3,39,329,706,19,4,10,0,2949,15,98,
Serie A (3 stagioni),,,,66.9,2952,2322,622,44,7,19,266,538,39,2,34,0,2178,8,75,
