,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2011-2012,,2015-2016,2016-2017,2017-2018,2018-2019,2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Arsenal (3 stagioni),Monza (2 stagioni),Arsenal (2 stagioni),La Coruña (1 stagione),NAC Breda (1 stagione),Gimnàstic (1 stagione),Flamengo (1 stagione),Udinese (1 stagione),Girona (1 stagione),Mallorca (1 stagione),,Segunda División (3 stagioni),Serie A (3 stagioni),Premier League (3 stagioni),PL2 — Div. 1 (2 stagioni),Eredivisie (1 stagione),Série A (1 stagione),La Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2011-2012,17,Mallorca,es ESP,1. La Liga,8°,0.4,,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,21,Gimnàstic,es ESP,2. Segunda División,3°,24.6,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Girona,es ESP,2. Segunda División,2°,5.6,,0,,,,,,,,,,,0,,,,Partite
2017-2018,23,NAC Breda,nl NED,1. Eredivisie,14°,29.7,,0,,,,,,,,,,,0,,,,Partite
2018-2019,24,La Coruña,es ESP,2. Segunda División,6°,35.3,40,29,26,12,2,14,26,"53,8",12,30,20,10,46,86,133,1,Partite
2019,25,Flamengo,br BRA,1. Série A,1°,22.0,22,16,17,5,0,13,21,"61,9",8,13,9,4,22,44,67,1,Partite
2019-2020,25,Arsenal,eng ENG,1. Premier League,8°,1.3,2,1,2,0,0,0,0,,0,0,0,0,1,3,10,0,Partite
2019-2020,25,Arsenal,eng ENG,Jr. PL2 — Div. 1,6°,1.0,,,,,,,,,,,,,,,,,Partite
2020-2021,26,Arsenal,eng ENG,Jr. PL2 — Div. 1,10°,1.5,,,,,,,,,,,,,,,,,Partite
2020-2021,26,Arsenal,eng ENG,1. Premier League,8°,10.0,15,9,12,3,0,5,10,"50,0",5,8,7,1,9,24,30,2,Partite
2021-2022,27,Arsenal,eng ENG,1. Premier League,5°,2.0,5,3,1,3,1,3,6,"50,0",3,5,4,1,3,8,10,0,Partite
2021-2022,27,Udinese,it ITA,1. Serie A,12°,14.9,16,8,8,6,2,8,16,"50,0",8,18,12,6,21,37,72,0,Partite
2022-2023,28,Monza,it ITA,1. Serie A,11°,27.6,37,19,29,7,1,17,26,"65,4",9,22,14,8,31,68,111,3,Partite
2023-2024,29,Monza,it ITA,1. Serie A,11°,18.3,30,19,25,5,0,15,21,"71,4",6,23,16,7,18,48,64,1,Partite
10 stagioni,9 club,,6 campionati,,191.7,167,104,120,41,6,75,126,"59,5",51,119,82,37,151,318,497,8,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Arsenal (3 stagioni),,1 campionato,,13.3,22,13,15,6,1,8,16,"50,0",8,13,11,2,13,35,50,2,
Monza (2 stagioni),,1 campionato,,45.9,67,38,54,12,1,32,47,"68,1",15,45,30,15,49,116,175,4,
Arsenal (2 stagioni),,1 campionato,,2.5,,,,,,,,,,,,,,0,,,
La Coruña (1 stagione),,1 campionato,,35.3,40,29,26,12,2,14,26,"53,8",12,30,20,10,46,86,133,1,
NAC Breda (1 stagione),,1 campionato,,29.7,,0,,,,,,,,,,,0,0,,,
Gimnàstic (1 stagione),,1 campionato,,24.6,,,,,,,,,,,,,,0,,,
Flamengo (1 stagione),,1 campionato,,22.0,22,16,17,5,0,13,21,"61,9",8,13,9,4,22,44,67,1,
Udinese (1 stagione),,1 campionato,,14.9,16,8,8,6,2,8,16,"50,0",8,18,12,6,21,37,72,0,
Girona (1 stagione),,1 campionato,,5.6,,0,,,,,,,,,,,0,0,,,
Mallorca (1 stagione),,1 campionato,,0.4,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Segunda División (3 stagioni),,,,65.5,40,29,26,12,2,14,26,"53,8",12,30,20,10,46,86,133,1,
Serie A (3 stagioni),,,,60.8,83,46,62,18,3,40,63,"63,5",23,63,42,21,70,153,247,4,
Premier League (3 stagioni),,,,13.3,22,13,15,6,1,8,16,"50,0",8,13,11,2,13,35,50,2,
PL2 — Div. 1 (2 stagioni),,,,2.5,,,,,,,,,,,,,,0,,,
Eredivisie (1 stagione),,,,29.7,,0,,,,,,,,,,,0,0,,,
Série A (1 stagione),,,,22.0,22,16,17,5,0,13,21,"61,9",8,13,9,4,22,44,67,1,
La Liga (1 stagione),,,,0.4,,,,,,,,,,,,,,0,,,
