,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,18 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Sporting CP (12 stagioni),Wolves (3 stagioni),Roma (3 stagioni),,Primeira Liga (12 stagioni),Premier League (3 stagioni),Serie A (3 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2006-2007,18,Sporting CP,pt POR,1. Primeira Liga,2°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2007-2008,19,Sporting CP,pt POR,1. Primeira Liga,2°,20.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2008-2009,20,Sporting CP,pt POR,1. Primeira Liga,2°,26.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2009-2010,21,Sporting CP,pt POR,1. Primeira Liga,4°,30.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,22,Sporting CP,pt POR,1. Primeira Liga,3°,30.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,23,Sporting CP,pt POR,1. Primeira Liga,4°,28.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,24,Sporting CP,pt POR,1. Primeira Liga,7°,30.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,25,Sporting CP,pt POR,1. Primeira Liga,2°,30.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,26,Sporting CP,pt POR,1. Primeira Liga,3°,33.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,27,Sporting CP,pt POR,1. Primeira Liga,2°,33.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,28,Sporting CP,pt POR,1. Primeira Liga,3°,31.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
