,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017,2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Udinese (4 stagioni),Bahia (3 stagioni),CSKA Moscow (1 stagione),Fenerbahçe (1 stagione),,Serie A (4 stagioni),Série A (2 stagioni),Premier League (1 stagione),Süper Lig (1 stagione),Série B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017,21,Bahia,br BRA,1. Série A,12°,5.4,,8,,,,,,,,,,,14,,,,Partite
2018,22,Bahia,br BRA,1. Série A,11°,0.5,,0,,,,,,,,,,,0,,,,Partite
2018-2019,22,CSKA Moscow,ru RUS,1. Premier League,4°,26.7,,,,,,,,,,,,,,,,,Partite
2019-2020,23,Udinese,it ITA,1. Serie A,13°,24.6,56,25,34,19,3,26,46,"56,5",20,40,20,20,45,101,77,0,Partite
2020-2021,24,Udinese,it ITA,1. Serie A,14°,30.9,59,33,36,20,3,27,49,"55,1",22,48,27,21,68,127,94,2,Partite
2021-2022,25,Udinese,it ITA,1. Serie A,12°,34.8,81,46,49,30,2,34,60,"56,7",26,45,20,25,42,123,89,3,Partite
2022-2023,26,Udinese,it ITA,1. Serie A,12°,27.6,70,36,50,17,3,40,53,"75,5",13,44,24,20,26,96,68,2,Partite
2023-2024,27,Fenerbahçe,tr TUR,1. Süper Lig,1°,8.8,,2,,,,,,,,,,,6,,,,Partite
8 stagioni,4 club,,5 campionati,,159.2,266,150,169,86,11,127,208,"61,1",81,177,91,86,201,447,328,7,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Udinese (4 stagioni),,1 campionato,,117.9,266,140,169,86,11,127,208,"61,1",81,177,91,86,181,447,328,7,
Bahia (3 stagioni),,2 campionati,,5.9,,8,,,,,,,,,,,14,0,,,
CSKA Moscow (1 stagione),,1 campionato,,26.7,,,,,,,,,,,,,,0,,,
Fenerbahçe (1 stagione),,1 campionato,,8.8,,2,,,,,,,,,,,6,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,117.9,266,140,169,86,11,127,208,"61,1",81,177,91,86,181,447,328,7,
Série A (2 stagioni),,,,5.9,,8,,,,,,,,,,,14,0,,,
Premier League (1 stagione),,,,26.7,,,,,,,,,,,,,,0,,,
Süper Lig (1 stagione),,,,8.8,,2,,,,,,,,,,,6,0,,,
Série B (1 stagione),,,,,,,,,,,,,,,,,,0,,,
