,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2017,2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Udinese (4 stagioni),Bahia (3 stagioni),CSKA Moscow (1 stagione),Fenerbahçe (1 stagione),,Serie A (4 stagioni),Série A (2 stagioni),Premier League (1 stagione),Süper Lig (1 stagione),Série B (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2017,21,Bahia,br BRA,1. Série A,12°,5.4,,,,,,,,,,,,,,,,,Partite
2018,22,Bahia,br BRA,1. Série A,11°,0.5,,,,,,,,,,,,,,,,,Partite
2018-2019,22,CSKA Moscow,ru RUS,1. Premier League,4°,26.7,,,,,,,,,,,,,,,,,Partite
2019-2020,23,Udinese,it ITA,1. Serie A,13°,24.6,9,"0,37",7,0,0,1,0,1,1,"0,04",0,0,0,1,0,0,Partite
2020-2021,24,Udinese,it ITA,1. Serie A,14°,30.9,25,"0,81",21,0,0,1,1,2,1,"0,03",1,0,0,0,0,0,Partite
2021-2022,25,Udinese,it ITA,1. Serie A,12°,34.8,27,"0,78",20,3,1,0,3,0,1,"0,03",1,0,0,0,0,0,Partite
2022-2023,26,Udinese,it ITA,1. Serie A,12°,27.6,29,"1,05",20,4,0,1,2,2,1,"0,04",1,0,0,0,0,0,Partite
2023-2024,27,Fenerbahçe,tr TUR,1. Süper Lig,1°,8.8,,,,,,,,,,,,,,,,,Partite
8 stagioni,4 club,,5 campionati,,159.2,90,"0,76",68,7,1,3,6,5,4,"0,03",3,0,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Udinese (4 stagioni),,1 campionato,,117.9,90,"0,76",68,7,1,3,6,5,4,"0,03",3,0,0,1,0,0,
Bahia (3 stagioni),,2 campionati,,5.9,,,,,,,,,,,,,,,,,
CSKA Moscow (1 stagione),,1 campionato,,26.7,,,,,,,,,,,,,,,,,
Fenerbahçe (1 stagione),,1 campionato,,8.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,117.9,90,"0,76",68,7,1,3,6,5,4,"0,03",3,0,0,1,0,0,
Série A (2 stagioni),,,,5.9,,,,,,,,,,,,,,,,,
Premier League (1 stagione),,,,26.7,,,,,,,,,,,,,,,,,
Süper Lig (1 stagione),,,,8.8,,,,,,,,,,,,,,,,,
Série B (1 stagione),,,,,,,,,,,,,,,,,,,,,
