,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017,2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Udinese (4 stagioni),Bahia (3 stagioni),CSKA Moscow (1 stagione),Fenerbahçe (1 stagione),,Serie A (4 stagioni),Série A (2 stagioni),Premier League (1 stagione),Süper Lig (1 stagione),Série B (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017,21,Bahia,br BRA,1. Série A,12°,5.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018,22,Bahia,br BRA,1. Série A,11°,0.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,22,CSKA Moscow,ru RUS,1. Premier League,4°,26.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,23,Udinese,it ITA,1. Serie A,13°,24.6,878,1036,"84,7",16103,6335,364,394,"92,4",408,458,"89,1",92,147,"62,6",1,0.6,0.2,+0.4,2,51,1,0,59,Partite
2020-2021,24,Udinese,it ITA,1. Serie A,14°,30.9,1173,1371,"85,6",20394,7572,498,547,"91,0",553,612,"90,4",96,158,"60,8",0,0.3,0.3,-0.3,7,80,5,1,98,Partite
2021-2022,25,Udinese,it ITA,1. Serie A,12°,34.8,1117,1428,"78,2",18775,7448,515,580,"88,8",493,593,"83,1",77,189,"40,7",1,0.6,0.7,+0.4,10,52,5,1,74,Partite
2022-2023,26,Udinese,it ITA,1. Serie A,12°,27.6,1089,1400,"77,8",20616,8692,425,477,"89,1",524,626,"83,7",128,239,"53,6",1,0.6,0.9,+0.4,10,77,5,2,98,Partite
2023-2024,27,Fenerbahçe,tr TUR,1. Süper Lig,1°,8.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
8 stagioni,4 club,,5 campionati,,159.2,4257,5235,"81,3",75888,30047,1802,1998,"90,2",1978,2289,"86,4",393,733,"53,6",3,2.1,2.1,+0.9,29,260,16,4,329,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Udinese (4 stagioni),,1 campionato,,117.9,4257,5235,"81,3",75888,30047,1802,1998,"90,2",1978,2289,"86,4",393,733,"53,6",3,2.1,2.1,+0.9,29,260,16,4,329,
Bahia (3 stagioni),,2 campionati,,5.9,,,,,,,,,,,,,,,0,,,,,,,,,
CSKA Moscow (1 stagione),,1 campionato,,26.7,,,,,,,,,,,,,,,0,,,,,,,,,
Fenerbahçe (1 stagione),,1 campionato,,8.8,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,117.9,4257,5235,"81,3",75888,30047,1802,1998,"90,2",1978,2289,"86,4",393,733,"53,6",3,2.1,2.1,+0.9,29,260,16,4,329,
Série A (2 stagioni),,,,5.9,,,,,,,,,,,,,,,0,,,,,,,,,
Premier League (1 stagione),,,,26.7,,,,,,,,,,,,,,,0,,,,,,,,,
Süper Lig (1 stagione),,,,8.8,,,,,,,,,,,,,,,0,,,,,,,,,
Série B (1 stagione),,,,,,,,,,,,,,,,,,,,,,,,,,,,
