,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017,2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Udinese (4 stagioni),Bahia (3 stagioni),CSKA Moscow (1 stagione),Fenerbahçe (1 stagione),,Serie A (4 stagioni),Série A (2 stagioni),Premier League (1 stagione),Süper Lig (1 stagione),Série B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017,21,Bahia,br BRA,1. Série A,12°,5.4,,,,,,,0,,,,,,,,,Partite
2018,22,Bahia,br BRA,1. Série A,11°,0.5,,,,,,,0,,,,,,,,,Partite
2018-2019,22,CSKA Moscow,ru RUS,1. Premier League,4°,26.7,,,,,,,,,,,,,,,,Partite
2019-2020,23,Udinese,it ITA,1. Serie A,13°,24.6,1036,987,47,41,0,12,5,6,0,0,0,0,878,2,11,Partite
2020-2021,24,Udinese,it ITA,1. Serie A,14°,30.9,1371,1313,54,49,0,5,13,5,0,0,0,0,1173,4,19,Partite
2021-2022,25,Udinese,it ITA,1. Serie A,12°,34.8,1428,1270,157,49,1,3,17,105,0,0,0,0,1117,1,16,Partite
2022-2023,26,Udinese,it ITA,1. Serie A,12°,27.6,1400,1181,216,68,1,10,19,148,0,0,0,0,1089,3,31,Partite
2023-2024,27,Fenerbahçe,tr TUR,1. Süper Lig,1°,8.8,,,,,,,1,,,,,,,,,Partite
8 stagioni,4 club,,5 campionati,,159.2,5235,4751,474,207,2,30,55,264,0,0,0,0,4257,10,77,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Udinese (4 stagioni),,1 campionato,,117.9,5235,4751,474,207,2,30,54,264,0,0,0,0,4257,10,77,
Bahia (3 stagioni),,2 campionati,,5.9,,,,,,,0,,,,,,,,,
CSKA Moscow (1 stagione),,1 campionato,,26.7,,,,,,,,,,,,,,,,
Fenerbahçe (1 stagione),,1 campionato,,8.8,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,117.9,5235,4751,474,207,2,30,54,264,0,0,0,0,4257,10,77,
Série A (2 stagioni),,,,5.9,,,,,,,0,,,,,,,,,
Premier League (1 stagione),,,,26.7,,,,,,,,,,,,,,,,
Süper Lig (1 stagione),,,,8.8,,,,,,,1,,,,,,,,,
Série B (1 stagione),,,,,,,,,,,,,,,,,,,,
