,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Bordeaux (2 stagioni),Milan (2 stagioni),Cagliari (1 stagione),Pescara (1 stagione),Torino (1 stagione),Inter (1 stagione),Atalanta (1 stagione),,Serie A (6 stagioni),Ligue 1 (2 stagioni),Serie B (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12°,0.7,22,28,"78,6",299,57,15,17,"88,2",4,5,"80,0",1,2,"50,0",0,0.0,0.0,0.0,0,0,0,0,0,Partite
2019-2020,19,Atalanta,it ITA,1. Serie A,3°,0.2,14,15,"93,3",192,29,11,11,"100,0",2,3,"66,7",1,1,"100,0",0,0.0,0.0,0.0,0,1,0,0,0,Partite
2020-2021,20,Pescara,it ITA,2. Serie B,19°,26.0,902,1228,"73,5",15181,5053,477,539,"88,5",319,451,"70,7",92,182,"50,5",0,1.0,1.2,-1.0,15,41,19,14,65,Partite
2021-2022,21,Cagliari,it ITA,1. Serie A,18°,27.7,667,933,"71,5",11441,2944,335,407,"82,3",241,333,"72,4",74,127,"58,3",2,3.5,2.7,-1.5,32,40,27,21,46,Partite
2022-2023,22,Inter,it ITA,1. Serie A,3°,5.5,238,306,"77,8",3914,953,120,135,"88,9",82,110,"74,5",23,39,"59,0",0,0.4,0.4,-0.4,3,9,6,5,12,Partite
2023-2024,23,Torino,it ITA,1. Serie A,10°,23.8,872,1118,"78,0",14511,4235,420,473,"88,8",360,449,"80,2",70,126,"55,6",5,3.4,3.0,+1.6,31,43,27,20,74,Partite
7 stagioni,7 club,,3 campionati,,83.9,2715,3628,"74,8",45538,13271,1378,1582,"87,1",1008,1351,"74,6",261,477,"54,7",7,8.4,7.3,-1.4,81,134,79,60,197,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Bordeaux (2 stagioni),,1 campionato,,0.7,22,28,"78,6",299,57,15,17,"88,2",4,5,"80,0",1,2,"50,0",0,0.0,0.0,0.0,0,0,0,0,0,
Milan (2 stagioni),,1 campionato,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagliari (1 stagione),,1 campionato,,27.7,667,933,"71,5",11441,2944,335,407,"82,3",241,333,"72,4",74,127,"58,3",2,3.5,2.7,-1.5,32,40,27,21,46,
Pescara (1 stagione),,1 campionato,,26.0,902,1228,"73,5",15181,5053,477,539,"88,5",319,451,"70,7",92,182,"50,5",0,1.0,1.2,-1.0,15,41,19,14,65,
Torino (1 stagione),,1 campionato,,23.8,872,1118,"78,0",14511,4235,420,473,"88,8",360,449,"80,2",70,126,"55,6",5,3.4,3.0,+1.6,31,43,27,20,74,
Inter (1 stagione),,1 campionato,,5.5,238,306,"77,8",3914,953,120,135,"88,9",82,110,"74,5",23,39,"59,0",0,0.4,0.4,-0.4,3,9,6,5,12,
Atalanta (1 stagione),,1 campionato,,0.2,14,15,"93,3",192,29,11,11,"100,0",2,3,"66,7",1,1,"100,0",0,0.0,0.0,0.0,0,1,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,57.2,1791,2372,"75,5",30058,8161,886,1026,"86,4",685,895,"76,5",168,293,"57,3",7,7.4,6.2,-0.4,66,93,60,46,132,
Ligue 1 (2 stagioni),,,,0.7,22,28,"78,6",299,57,15,17,"88,2",4,5,"80,0",1,2,"50,0",0,0.0,0.0,0.0,0,0,0,0,0,
Serie B (1 stagione),,,,26.0,902,1228,"73,5",15181,5053,477,539,"88,5",319,451,"70,7",92,182,"50,5",0,1.0,1.2,-1.0,15,41,19,14,65,
