,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Bordeaux (2 stagioni),Milan (2 stagioni),Cagliari (1 stagione),Pescara (1 stagione),Torino (1 stagione),Inter (1 stagione),Atalanta (1 stagione),,Serie A (6 stagioni),Ligue 1 (2 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12°,0.7,28,21,7,1,0,0,0,6,0,0,0,0,22,0,0,Partite
2019-2020,19,Atalanta,it ITA,1. Serie A,3°,0.2,15,14,1,0,0,0,0,1,0,0,0,0,14,0,0,Partite
2020-2021,20,Pescara,it ITA,2. Serie B,19°,26.0,1228,950,274,28,0,10,84,245,1,0,1,0,902,4,31,Partite
2021-2022,21,Cagliari,it ITA,1. Serie A,18°,27.7,933,837,95,4,0,6,96,91,0,0,0,0,667,1,29,Partite
2022-2023,22,Inter,it ITA,1. Serie A,3°,5.5,306,274,32,0,0,4,32,32,0,0,0,0,238,0,8,Partite
2023-2024,23,Torino,it ITA,1. Serie A,10°,23.8,1118,899,216,8,0,2,119,208,0,0,0,0,872,3,30,Partite
7 stagioni,7 club,,3 campionati,,83.9,3628,2995,625,41,0,22,331,583,1,0,1,0,2715,8,98,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Bordeaux (2 stagioni),,1 campionato,,0.7,28,21,7,1,0,0,0,6,0,0,0,0,22,0,0,
Milan (2 stagioni),,1 campionato,,,,,,,,,,,,,,,,,,
Cagliari (1 stagione),,1 campionato,,27.7,933,837,95,4,0,6,96,91,0,0,0,0,667,1,29,
Pescara (1 stagione),,1 campionato,,26.0,1228,950,274,28,0,10,84,245,1,0,1,0,902,4,31,
Torino (1 stagione),,1 campionato,,23.8,1118,899,216,8,0,2,119,208,0,0,0,0,872,3,30,
Inter (1 stagione),,1 campionato,,5.5,306,274,32,0,0,4,32,32,0,0,0,0,238,0,8,
Atalanta (1 stagione),,1 campionato,,0.2,15,14,1,0,0,0,0,1,0,0,0,0,14,0,0,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,57.2,2372,2024,344,12,0,12,247,332,0,0,0,0,1791,4,67,
Ligue 1 (2 stagioni),,,,0.7,28,21,7,1,0,0,0,6,0,0,0,0,22,0,0,
Serie B (1 stagione),,,,26.0,1228,950,274,28,0,10,84,245,1,0,1,0,902,4,31,
