,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Roma (3 stagioni),Basel (2 stagioni),Bologna (1 stagione),Genoa (1 stagione),,Serie A (4 stagioni),Super Lg (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2019-2020,17,Roma,it ITA,1. Serie A,5°,0.7,0,0,0,0,0,0,1,"0,0",1,0,0,0,2,2,0,0,Partite
2020-2021,18,Roma,it ITA,1. Serie A,7°,0.7,1,0,1,0,0,1,4,"25,0",3,1,0,1,0,1,0,0,Partite
2021-2022,19,Roma,it ITA,1. Serie A,6°,1.9,5,4,2,2,1,1,5,"20,0",4,3,0,3,3,8,1,0,Partite
2021-2022,19,Genoa,it ITA,1. Serie A,19°,0.9,1,0,0,0,1,1,2,"50,0",1,2,1,1,2,3,4,0,Partite
2022-2023,20,Basel,ch SUI,1. Super Lg,5°,18.8,,24,,,,,,,,,,,36,,,,Partite
2023-2024,21,Basel,ch SUI,1. Super Lg,8°,2.8,,5,,,,,,,,,,,6,,,,Partite
2023-2024,21,Bologna,it ITA,1. Serie A,4°,18.4,28,21,18,7,3,10,18,"55,6",8,28,11,17,36,64,46,2,Partite
5 stagioni,4 club,,2 campionati,,44.2,35,54,21,9,5,13,30,"43,3",17,34,12,22,85,78,51,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Roma (3 stagioni),,1 campionato,,3.3,6,4,3,2,1,2,10,"20,0",8,4,0,4,5,11,1,0,
Basel (2 stagioni),,1 campionato,,21.6,,29,,,,,,,,,,,42,0,,,
Bologna (1 stagione),,1 campionato,,18.4,28,21,18,7,3,10,18,"55,6",8,28,11,17,36,64,46,2,
Genoa (1 stagione),,1 campionato,,0.9,1,0,0,0,1,1,2,"50,0",1,2,1,1,2,3,4,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,22.6,35,25,21,9,5,13,30,"43,3",17,34,12,22,43,78,51,2,
Super Lg (2 stagioni),,,,21.6,,29,,,,,,,,,,,42,0,,,
