,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Roma (3 stagioni),Basel (2 stagioni),Bologna (1 stagione),Genoa (1 stagione),,Serie A (4 stagioni),Super Lg (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2019-2020,17,Roma,it ITA,1. Serie A,5°,0.7,1,"1,53",0,0,0,0,1,0,1,"1,53",0,0,0,0,1,0,Partite
2020-2021,18,Roma,it ITA,1. Serie A,7°,0.7,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,19,Roma,it ITA,1. Serie A,6°,1.9,4,"2,09",3,0,1,0,0,0,2,"1,05",1,0,1,0,0,0,Partite
2021-2022,19,Genoa,it ITA,1. Serie A,19°,0.9,1,"1,10",0,1,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,20,Basel,ch SUI,1. Super Lg,5°,18.8,,,,,,,,,,,,,,,,,Partite
2023-2024,21,Basel,ch SUI,1. Super Lg,8°,2.8,,,,,,,,,,,,,,,,,Partite
2023-2024,21,Bologna,it ITA,1. Serie A,4°,18.4,31,"1,70",25,0,1,3,0,2,4,"0,22",3,0,0,1,0,0,Partite
5 stagioni,4 club,,2 campionati,,44.2,37,"1,65",28,1,2,3,1,2,7,"0,31",4,0,1,1,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Roma (3 stagioni),,1 campionato,,3.3,5,"1,52",3,0,1,0,1,0,3,"0,91",1,0,1,0,1,0,
Basel (2 stagioni),,1 campionato,,21.6,,,,,,,,,,,,,,,,,
Bologna (1 stagione),,1 campionato,,18.4,31,"1,70",25,0,1,3,0,2,4,"0,22",3,0,0,1,0,0,
Genoa (1 stagione),,1 campionato,,0.9,1,"1,10",0,1,0,0,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,22.6,37,"1,65",28,1,2,3,1,2,7,"0,31",4,0,1,1,1,0,
Super Lg (2 stagioni),,,,21.6,,,,,,,,,,,,,,,,,
