,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Roma (6 stagioni),Feyenoord (4 stagioni),,Serie A (6 stagioni),Eredivisie (4 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,19,Feyenoord,nl NED,1. Eredivisie,4°,13.8,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Feyenoord,nl NED,1. Eredivisie,3°,27.3,,,,,,,,,,,,,,,,,Partite
2016-2017,21,Feyenoord,nl NED,1. Eredivisie,1°,28.2,,0,,,,,,,,,,,0,,,,Partite
2017-2018,22,Roma,it ITA,1. Serie A,3°,0.9,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,Partite
2018-2019,23,Roma,it ITA,1. Serie A,6°,6.6,9,6,3,5,1,5,11,"45,5",6,4,2,2,12,21,12,1,Partite
2019-2020,24,Feyenoord,nl NED,1. Eredivisie,3°,12.6,18,16,9,8,1,6,12,"50,0",6,7,2,5,27,45,24,1,Partite
2020-2021,25,Roma,it ITA,1. Serie A,7°,28.3,36,23,19,12,5,21,48,"43,8",27,18,1,17,30,66,32,0,Partite
2021-2022,26,Roma,it ITA,1. Serie A,6°,32.0,53,38,33,13,7,28,50,"56,0",22,22,5,17,34,87,26,1,Partite
2022-2023,27,Roma,it ITA,1. Serie A,6°,7.9,21,13,11,7,3,13,22,"59,1",9,0,0,0,7,28,15,1,Partite
2023-2024,28,Roma,it ITA,1. Serie A,5°,10.9,21,15,10,5,6,13,19,"68,4",6,8,2,6,8,29,13,0,Partite
10 stagioni,2 club,,2 campionati,,168.6,159,112,86,50,23,86,162,"53,1",76,59,12,47,119,278,122,4,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Roma (6 stagioni),,1 campionato,,86.6,141,96,77,42,22,80,150,"53,3",70,52,10,42,92,233,98,3,
Feyenoord (4 stagioni),,1 campionato,,82.0,18,16,9,8,1,6,12,"50,0",6,7,2,5,27,45,24,1,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,86.6,141,96,77,42,22,80,150,"53,3",70,52,10,42,92,233,98,3,
Eredivisie (4 stagioni),,,,82.0,18,16,9,8,1,6,12,"50,0",6,7,2,5,27,45,24,1,
