,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Roma (6 stagioni),Feyenoord (4 stagioni),,Serie A (6 stagioni),Eredivisie (4 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2014-2015,19,Feyenoord,nl NED,1. Eredivisie,4°,13.8,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Feyenoord,nl NED,1. Eredivisie,3°,27.3,,,,,,,,,,,,,,,,,Partite
2016-2017,21,Feyenoord,nl NED,1. Eredivisie,1°,28.2,,,,,,,,,,,,,,,,,Partite
2017-2018,22,Roma,it ITA,1. Serie A,3°,0.9,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,23,Roma,it ITA,1. Serie A,6°,6.6,13,"1,97",10,3,0,0,0,0,3,"0,45",3,0,0,0,0,0,Partite
2019-2020,24,Feyenoord,nl NED,1. Eredivisie,3°,12.6,30,"2,38",26,1,1,2,0,0,5,"0,40",2,1,1,1,0,0,Partite
2020-2021,25,Roma,it ITA,1. Serie A,7°,28.3,43,"1,56",38,0,2,3,0,0,8,"0,29",7,0,1,0,0,0,Partite
2021-2022,26,Roma,it ITA,1. Serie A,6°,32.0,93,"2,90",81,4,5,0,2,1,4,"0,12",4,0,0,0,0,0,Partite
2022-2023,27,Roma,it ITA,1. Serie A,6°,7.9,16,"2,03",13,3,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,28,Roma,it ITA,1. Serie A,5°,10.9,18,"1,65",16,1,0,0,1,0,3,"0,27",2,0,0,0,1,0,Partite
10 stagioni,2 club,,2 campionati,,168.6,213,"2,16",184,12,8,5,3,1,23,"0,23",18,1,2,1,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Roma (6 stagioni),,1 campionato,,86.6,183,"2,13",158,11,7,3,3,1,18,"0,21",16,0,1,0,1,0,
Feyenoord (4 stagioni),,1 campionato,,82.0,30,"2,38",26,1,1,2,0,0,5,"0,40",2,1,1,1,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,86.6,183,"2,13",158,11,7,3,3,1,18,"0,21",16,0,1,0,1,0,
Eredivisie (4 stagioni),,,,82.0,30,"2,38",26,1,1,2,0,0,5,"0,40",2,1,1,1,0,0,
