,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Roma (6 stagioni),Feyenoord (4 stagioni),,Serie A (6 stagioni),Eredivisie (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2014-2015,19,Feyenoord,nl NED,1. Eredivisie,4°,13.8,,,,,,,,,,,,,,,,Partite
2015-2016,20,Feyenoord,nl NED,1. Eredivisie,3°,27.3,,,,,,,,,,,,,,,,Partite
2016-2017,21,Feyenoord,nl NED,1. Eredivisie,1°,28.2,,,,,,,0,,,,,,,,,Partite
2017-2018,22,Roma,it ITA,1. Serie A,3°,0.9,63,51,11,1,0,0,2,10,0,0,0,0,48,1,2,Partite
2018-2019,23,Roma,it ITA,1. Serie A,6°,6.6,414,338,74,3,4,1,24,71,0,0,0,0,317,2,11,Partite
2019-2020,24,Feyenoord,nl NED,1. Eredivisie,3°,12.6,933,806,126,8,1,3,37,118,0,0,0,0,748,1,13,Partite
2020-2021,25,Roma,it ITA,1. Serie A,7°,28.3,1298,1106,190,11,2,4,55,179,0,0,0,0,1070,2,29,Partite
2021-2022,26,Roma,it ITA,1. Serie A,6°,32.0,1819,1526,281,15,3,11,103,266,0,0,0,0,1466,12,33,Partite
2022-2023,27,Roma,it ITA,1. Serie A,6°,7.9,380,306,73,4,3,1,14,69,0,0,0,0,295,1,8,Partite
2023-2024,28,Roma,it ITA,1. Serie A,5°,10.9,565,465,95,3,0,2,20,92,0,0,0,0,446,5,12,Partite
10 stagioni,2 club,,2 campionati,,168.6,5472,4598,850,45,13,22,255,805,0,0,0,0,4390,24,108,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Roma (6 stagioni),,1 campionato,,86.6,4539,3792,724,37,12,19,218,687,0,0,0,0,3642,23,95,
Feyenoord (4 stagioni),,1 campionato,,82.0,933,806,126,8,1,3,37,118,0,0,0,0,748,1,13,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,86.6,4539,3792,724,37,12,19,218,687,0,0,0,0,3642,23,95,
Eredivisie (4 stagioni),,,,82.0,933,806,126,8,1,3,37,118,0,0,0,0,748,1,13,
