,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2009-2010,2010-2011,2011-2012,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Wolfsburg (6 stagioni),Torino (4 stagioni),Milan (3 stagioni),Zürich (3 stagioni),PSV Eindhoven (1 stagione),,Serie A (7 stagioni),Bundesliga (6 stagioni),Super Lg (3 stagioni),Eredivisie (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2009-2010,16,Zürich,ch SUI,1. Super Lg,7°,4.7,,,,,,,,,,,,,,,,,Partite
2010-2011,17,Zürich,ch SUI,1. Super Lg,2°,11.3,,,,,,,,,,,,,,,,,
2011-2012,18,Zürich,ch SUI,1. Super Lg,6°,16.0,,,,,,,,,,,,,,,,,Partite
2011-2012,18,Wolfsburg,de GER,1. Bundesliga,8°,17.0,,,,,,,,,,,,,,,,,Partite
2012-2013,19,Wolfsburg,de GER,1. Bundesliga,11°,19.0,,,,,,,,,,,,,,,,,Partite
2013-2014,20,Wolfsburg,de GER,1. Bundesliga,5°,34.0,,,,,,,,,,,,,,,,,Partite
2014-2015,21,Wolfsburg,de GER,1. Bundesliga,2°,25.4,,,,,,,,,,,,,,,,,Partite
2015-2016,22,Wolfsburg,de GER,1. Bundesliga,8°,23.0,,,,,,,,,,,,,,,,,Partite
2016-2017,23,Wolfsburg,de GER,1. Bundesliga,16°,22.4,,,,,,,,,,,,,,,,,Partite
2017-2018,24,Milan,it ITA,1. Serie A,6°,33.4,58,"1,74",45,6,1,3,3,0,1,"0,03",0,0,0,1,0,0,Partite
2018-2019,25,Milan,it ITA,1. Serie A,5°,33.9,60,"1,77",53,3,2,0,1,1,5,"0,15",4,0,1,0,0,0,Partite
2019-2020,26,Milan,it ITA,1. Serie A,6°,4.3,5,"1,17",5,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,26,PSV Eindhoven,nl NED,1. Eredivisie,4°,5.0,9,"1,81",7,1,1,0,0,0,1,"0,20",0,1,0,0,0,0,Partite
2020-2021,27,Torino,it ITA,1. Serie A,17°,13.8,25,"1,82",21,1,0,2,1,0,4,"0,29",4,0,0,0,0,0,Partite
2021-2022,28,Torino,it ITA,1. Serie A,10°,27.5,44,"1,60",23,18,0,3,0,0,3,"0,11",1,1,0,1,0,0,Partite
2022-2023,29,Torino,it ITA,1. Serie A,10°,29.7,57,"1,92",46,8,1,2,0,0,2,"0,07",2,0,0,0,0,0,Partite
2023-2024,30,Torino,it ITA,1. Serie A,10°,21.9,25,"1,14",22,2,0,0,1,0,2,"0,09",2,0,0,0,0,0,Partite
15 stagioni,5 club,,4 campionati,,342.2,283,"1,67",222,39,5,10,6,1,18,"0,11",13,2,1,2,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Wolfsburg (6 stagioni),,1 campionato,,140.9,,,,,,,,,,,,,,,,,
Torino (4 stagioni),,1 campionato,,92.8,151,"1,63",112,29,1,7,2,0,11,"0,12",9,1,0,1,0,0,
Milan (3 stagioni),,1 campionato,,71.5,123,"1,72",103,9,3,3,4,1,6,"0,08",4,0,1,1,0,0,
Zürich (3 stagioni),,1 campionato,,32.0,,,,,,,,,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,5.0,9,"1,81",7,1,1,0,0,0,1,"0,20",0,1,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,164.4,274,"1,67",215,38,4,10,6,1,17,"0,10",13,1,1,2,0,0,
Bundesliga (6 stagioni),,,,140.9,,,,,,,,,,,,,,,,,
Super Lg (3 stagioni),,,,32.0,,,,,,,,,,,,,,,,,
Eredivisie (1 stagione),,,,5.0,9,"1,81",7,1,1,0,0,0,1,"0,20",0,1,0,0,0,0,
