,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,2010-2011,2011-2012,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Wolfsburg (6 stagioni),Torino (4 stagioni),Milan (3 stagioni),Zürich (3 stagioni),PSV Eindhoven (1 stagione),,Serie A (7 stagioni),Bundesliga (6 stagioni),Super Lg (3 stagioni),Eredivisie (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,16,Zürich,ch SUI,1. Super Lg,7°,4.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,17,Zürich,ch SUI,1. Super Lg,2°,11.3,,,,,,,,,,,,,,,3,,,,,,,,,
2011-2012,18,Zürich,ch SUI,1. Super Lg,6°,16.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,18,Wolfsburg,de GER,1. Bundesliga,8°,17.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,19,Wolfsburg,de GER,1. Bundesliga,11°,19.0,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2013-2014,20,Wolfsburg,de GER,1. Bundesliga,5°,34.0,,,,,,,,,,,,,,,9,,,,,,,,,Partite
2014-2015,21,Wolfsburg,de GER,1. Bundesliga,2°,25.4,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2015-2016,22,Wolfsburg,de GER,1. Bundesliga,8°,23.0,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2016-2017,23,Wolfsburg,de GER,1. Bundesliga,16°,22.4,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2017-2018,24,Milan,it ITA,1. Serie A,6°,33.4,1739,2090,"83,2",30510,9373,809,858,"94,3",722,840,"86,0",173,300,"57,7",0,1.9,2.5,-1.9,24,161,30,18,199,Partite
2018-2019,25,Milan,it ITA,1. Serie A,5°,33.9,1845,2192,"84,2",31787,10817,947,1003,"94,4",664,773,"85,9",199,328,"60,7",3,1.4,1.7,+1.6,21,150,33,14,177,Partite
2019-2020,26,Milan,it ITA,1. Serie A,6°,4.3,233,270,"86,3",4315,1157,107,112,"95,5",94,105,"89,5",30,47,"63,8",0,0.1,0.1,-0.1,1,13,3,0,19,Partite
2019-2020,26,PSV Eindhoven,nl NED,1. Eredivisie,4°,5.0,208,282,"73,8",3538,1106,101,118,"85,6",85,111,"76,6",18,41,"43,9",0,0.4,0.8,-0.4,5,6,6,3,17,Partite
2020-2021,27,Torino,it ITA,1. Serie A,17°,13.8,600,719,"83,4",10064,3055,321,333,"96,4",210,248,"84,7",58,100,"58,0",0,0.2,0.3,-0.2,6,36,5,0,49,Partite
