,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014,2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Atalanta (9 stagioni),São Paulo (2 stagioni),Roma (1 stagione),,Serie A (10 stagioni),Série A (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,22,Roma,it ITA,1. Serie A,2°,4.2,,,,,,,,,,,,,,,,Partite
2014,23,São Paulo,br BRA,1. Série A,2°,16.2,,,,,,,,,,,,,,,,Partite
2015,24,São Paulo,br BRA,1. Série A,4°,12.2,,,,,,,,,,,,,,,,Partite
2015-2016,24,Atalanta,it ITA,1. Serie A,13°,21.1,,,,,,,,,,,,,,,,Partite
2016-2017,25,Atalanta,it ITA,1. Serie A,4°,30.2,,,,,,,16,,,,,,,,,Partite
2017-2018,26,Atalanta,it ITA,1. Serie A,7°,27.2,1698,1545,144,45,3,34,15,99,0,0,0,0,1360,9,21,Partite
2018-2019,27,Atalanta,it ITA,1. Serie A,3°,19.4,1248,1160,85,28,3,14,10,57,0,0,0,0,1054,3,22,Partite
2019-2020,28,Atalanta,it ITA,1. Serie A,3°,29.0,1704,1625,72,37,1,13,13,35,0,0,0,0,1374,7,34,Partite
2020-2021,29,Atalanta,it ITA,1. Serie A,3°,28.2,1698,1606,88,37,1,15,30,51,0,0,0,0,1394,4,36,Partite
2021-2022,30,Atalanta,it ITA,1. Serie A,8°,16.0,944,896,45,23,3,10,10,22,0,0,0,0,772,3,19,Partite
2022-2023,31,Atalanta,it ITA,1. Serie A,5°,30.9,1682,1628,48,24,2,10,22,23,0,0,0,0,1351,6,21,Partite
2023-2024,32,Atalanta,it ITA,1. Serie A,6°,5.0,275,259,15,5,0,0,5,10,0,0,0,0,225,1,5,Partite
11 stagioni,3 club,,2 campionati,,239.5,9249,8719,497,199,13,96,121,297,0,0,0,0,7530,33,158,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Atalanta (9 stagioni),,1 campionato,,206.9,9249,8719,497,199,13,96,121,297,0,0,0,0,7530,33,158,
São Paulo (2 stagioni),,1 campionato,,28.4,,,,,,,,,,,,,,,,
Roma (1 stagione),,1 campionato,,4.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (10 stagioni),,,,211.1,9249,8719,497,199,13,96,121,297,0,0,0,0,7530,33,158,
Série A (2 stagioni),,,,28.4,,,,,,,,,,,,,,,,
