,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Wolves (4 stagioni),Famalicão (1 stagione),Sporting CP (1 stagione),Hull City (1 stagione),Hellas Verona (1 stagione),Olympiacos (1 stagione),Everton (1 stagione),Wolves (1 stagione),,Premier League (4 stagioni),Primeira Liga (2 stagioni),Championship (2 stagioni),Serie A (1 stagione),Super League (1 stagione),PL2 — Div. 2 (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,18,Wolves,eng ENG,Jr. PL2 — Div. 2,9°,1.0,,,,,,,,,,,,,,,,,Partite
2017-2018,18,Wolves,eng ENG,2. Championship,1°,7.0,,16,,,,,,,,,,,14,,,,Partite
2018-2019,19,Wolves,eng ENG,1. Premier League,7°,7.9,14,9,7,7,0,2,5,"40,0",3,10,2,8,14,28,16,1,Partite
2019-2020,20,Wolves,eng ENG,1. Premier League,7°,7.2,23,13,15,6,2,12,15,"80,0",3,7,2,5,11,34,22,0,Partite
2020-2021,21,Wolves,eng ENG,1. Premier League,13°,1.9,7,5,5,2,0,3,4,"75,0",1,3,0,3,2,9,4,0,Partite
2020-2021,21,Famalicão,pt POR,1. Primeira Liga,9°,18.2,22,12,14,5,3,7,16,"43,8",9,15,2,13,18,40,30,0,Partite
2020-2021,21,Olympiacos,gr GRE,1. Super League,1°,1.5,,,,,,,,,,,,,,,,,Partite
2021-2022,22,Sporting CP,pt POR,1. Primeira Liga,2°,6.0,13,9,5,5,3,4,10,"40,0",6,4,0,4,6,19,7,0,Partite
2022-2023,23,Everton,eng ENG,1. Premier League,17°,0.3,2,2,1,1,0,1,2,"50,0",1,0,0,0,0,2,1,0,Partite
2023-2024,24,Hellas Verona,it ITA,1. Serie A,17°,0.8,1,0,0,0,1,0,0,,0,1,1,0,0,1,1,0,Partite
2023-2024,24,Hull City,eng ENG,2. Championship,6°,5.5,12,9,6,5,1,5,7,"71,4",2,4,1,3,2,14,16,0,Partite
7 stagioni,7 club,,5 campionati,,56.4,94,75,53,31,10,34,59,"57,6",25,44,8,36,67,147,97,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Wolves (4 stagioni),,2 campionati,,24.0,44,43,27,15,2,17,24,"70,8",7,20,4,16,41,71,42,1,
Famalicão (1 stagione),,1 campionato,,18.2,22,12,14,5,3,7,16,"43,8",9,15,2,13,18,40,30,0,
Sporting CP (1 stagione),,1 campionato,,6.0,13,9,5,5,3,4,10,"40,0",6,4,0,4,6,19,7,0,
Hull City (1 stagione),,1 campionato,,5.5,12,9,6,5,1,5,7,"71,4",2,4,1,3,2,14,16,0,
Hellas Verona (1 stagione),,1 campionato,,0.8,1,0,0,0,1,0,0,,0,1,1,0,0,1,1,0,
Olympiacos (1 stagione),,1 campionato,,1.5,,,,,,,,,,,,,,0,,,
Everton (1 stagione),,1 campionato,,0.3,2,2,1,1,0,1,2,"50,0",1,0,0,0,0,2,1,0,
Wolves (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,17.3,46,29,28,16,2,18,26,"69,2",8,20,4,16,27,73,43,1,
Primeira Liga (2 stagioni),,,,24.3,35,21,19,10,6,11,26,"42,3",15,19,2,17,24,59,37,0,
Championship (2 stagioni),,,,12.4,12,25,6,5,1,5,7,"71,4",2,4,1,3,16,14,16,0,
Serie A (1 stagione),,,,0.8,1,0,0,0,1,0,0,,0,1,1,0,0,1,1,0,
Super League (1 stagione),,,,1.5,,,,,,,,,,,,,,0,,,
PL2 — Div. 2 (1 stagione),,,,1.0,,,,,,,,,,,,,,0,,,
