,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Wolves (4 stagioni),Famalicão (1 stagione),Sporting CP (1 stagione),Hull City (1 stagione),Hellas Verona (1 stagione),Olympiacos (1 stagione),Everton (1 stagione),Wolves (1 stagione),,Premier League (4 stagioni),Primeira Liga (2 stagioni),Championship (2 stagioni),Serie A (1 stagione),Super League (1 stagione),PL2 — Div. 2 (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,18,Wolves,eng ENG,Jr. PL2 — Div. 2,9°,1.0,,,,,,,,,,,,,,,,Partite
2017-2018,18,Wolves,eng ENG,2. Championship,1°,7.0,,,,,,,15,,,,,,,,,Partite
2018-2019,19,Wolves,eng ENG,1. Premier League,7°,7.9,420,336,81,0,1,0,52,79,2,1,0,0,296,3,18,Partite
2019-2020,20,Wolves,eng ENG,1. Premier League,7°,7.2,342,271,70,1,0,1,30,69,0,0,0,0,255,1,18,Partite
2020-2021,21,Wolves,eng ENG,1. Premier League,13°,1.9,101,84,17,0,0,0,4,17,0,0,0,0,86,0,1,Partite
2020-2021,21,Famalicão,pt POR,1. Primeira Liga,9°,18.2,881,649,231,32,0,1,62,187,12,4,5,0,675,1,27,Partite
2020-2021,21,Olympiacos,gr GRE,1. Super League,1°,1.5,,,,,,,,,,,,,,,,Partite
2021-2022,22,Sporting CP,pt POR,1. Primeira Liga,2°,6.0,392,317,74,6,1,0,38,67,1,0,1,0,292,1,15,Partite
2022-2023,23,Everton,eng ENG,1. Premier League,17°,0.3,24,19,5,1,0,0,2,4,0,0,0,0,15,0,1,Partite
2023-2024,24,Hellas Verona,it ITA,1. Serie A,17°,0.8,27,21,6,3,0,0,4,3,0,0,0,0,16,0,1,Partite
2023-2024,24,Hull City,eng ENG,2. Championship,6°,5.5,299,239,60,7,0,0,26,53,0,0,0,0,234,0,14,Partite
7 stagioni,7 club,,5 campionati,,56.4,2486,1936,544,50,2,2,233,479,15,5,6,0,1869,6,95,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Wolves (4 stagioni),,2 campionati,,24.0,863,691,168,1,1,1,101,165,2,1,0,0,637,4,37,
Famalicão (1 stagione),,1 campionato,,18.2,881,649,231,32,0,1,62,187,12,4,5,0,675,1,27,
Sporting CP (1 stagione),,1 campionato,,6.0,392,317,74,6,1,0,38,67,1,0,1,0,292,1,15,
Hull City (1 stagione),,1 campionato,,5.5,299,239,60,7,0,0,26,53,0,0,0,0,234,0,14,
Hellas Verona (1 stagione),,1 campionato,,0.8,27,21,6,3,0,0,4,3,0,0,0,0,16,0,1,
Olympiacos (1 stagione),,1 campionato,,1.5,,,,,,,,,,,,,,,,
Everton (1 stagione),,1 campionato,,0.3,24,19,5,1,0,0,2,4,0,0,0,0,15,0,1,
Wolves (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,17.3,887,710,173,2,1,1,88,169,2,1,0,0,652,4,38,
Primeira Liga (2 stagioni),,,,24.3,1273,966,305,38,1,1,100,254,13,4,6,0,967,2,42,
Championship (2 stagioni),,,,12.4,299,239,60,7,0,0,41,53,0,0,0,0,234,0,14,
Serie A (1 stagione),,,,0.8,27,21,6,3,0,0,4,3,0,0,0,0,16,0,1,
Super League (1 stagione),,,,1.5,,,,,,,,,,,,,,,,
PL2 — Div. 2 (1 stagione),,,,1.0,,,,,,,,,,,,,,,,
