,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Barcelona (2 stagioni),Ajax (2 stagioni),Jong Ajax (2 stagioni),PSV Eindhoven (1 stagione),Milan (1 stagione),,Eredivisie (3 stagioni),La Liga (2 stagioni),Eerste Divisie (2 stagioni),Serie A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2018-2019,17,Jong Ajax,nl NED,2. Eerste Divisie,11°,15.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Jong Ajax,nl NED,2. Eerste Divisie,4°,1.0,,0,,,,,,,,,,,1,,,,Partite
2019-2020,18,Ajax,nl NED,1. Eredivisie,1°,16.1,37,25,19,12,6,16,25,"64,0",9,16,5,11,18,55,16,1,Partite
2020-2021,19,Ajax,nl NED,1. Eredivisie,1°,0.9,2,2,1,1,0,0,1,"0,0",1,1,1,0,1,3,2,0,Partite
2020-2021,19,Barcelona,es ESP,1. La Liga,3°,21.2,31,16,23,6,2,18,32,"56,3",14,25,4,21,10,41,24,1,Partite
2021-2022,20,Barcelona,es ESP,1. La Liga,2°,16.8,32,15,21,10,1,13,18,"72,2",5,22,4,18,2,34,18,0,Partite
2022-2023,21,Milan,it ITA,1. Serie A,4°,3.7,12,6,3,5,4,3,4,"75,0",1,1,0,1,4,16,2,0,Partite
2023-2024,22,PSV Eindhoven,nl NED,1. Eredivisie,1°,16.5,19,14,12,7,0,11,20,"55,0",9,19,3,16,9,28,17,1,Partite
6 stagioni,5 club,,4 campionati,,91.2,133,78,79,41,13,61,100,"61,0",39,84,17,67,45,177,79,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Barcelona (2 stagioni),,1 campionato,,38.0,63,31,44,16,3,31,50,"62,0",19,47,8,39,12,75,42,1,
Ajax (2 stagioni),,1 campionato,,16.9,39,27,20,13,6,16,26,"61,5",10,17,6,11,19,58,18,1,
Jong Ajax (2 stagioni),,1 campionato,,16.0,,0,,,,,,,,,,,1,0,,,
PSV Eindhoven (1 stagione),,1 campionato,,16.5,19,14,12,7,0,11,20,"55,0",9,19,3,16,9,28,17,1,
Milan (1 stagione),,1 campionato,,3.7,12,6,3,5,4,3,4,"75,0",1,1,0,1,4,16,2,0,
,,,,,,,,,,,,,,,,,,,,,
Eredivisie (3 stagioni),,,,33.5,58,41,32,20,6,27,46,"58,7",19,36,9,27,28,86,35,2,
La Liga (2 stagioni),,,,38.0,63,31,44,16,3,31,50,"62,0",19,47,8,39,12,75,42,1,
Eerste Divisie (2 stagioni),,,,16.0,,0,,,,,,,,,,,1,0,,,
Serie A (1 stagione),,,,3.7,12,6,3,5,4,3,4,"75,0",1,1,0,1,4,16,2,0,
