,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Barcelona (2 stagioni),Ajax (2 stagioni),Jong Ajax (2 stagioni),PSV Eindhoven (1 stagione),Milan (1 stagione),,Eredivisie (3 stagioni),La Liga (2 stagioni),Eerste Divisie (2 stagioni),Serie A (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2018-2019,17,Jong Ajax,nl NED,2. Eerste Divisie,11°,15.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Jong Ajax,nl NED,2. Eerste Divisie,4°,1.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Ajax,nl NED,1. Eredivisie,1°,16.1,44,"2,74",35,1,2,5,1,0,6,"0,37",4,0,0,2,0,0,Partite
2020-2021,19,Ajax,nl NED,1. Eredivisie,1°,0.9,3,"3,51",2,0,1,0,0,0,1,"1,17",1,0,0,0,0,0,Partite
2020-2021,19,Barcelona,es ESP,1. La Liga,3°,21.2,43,"2,03",39,1,1,1,0,1,2,"0,09",2,0,0,0,0,0,Partite
2021-2022,20,Barcelona,es ESP,1. La Liga,2°,16.8,43,"2,56",32,2,7,0,2,0,3,"0,18",3,0,0,0,0,0,Partite
2022-2023,21,Milan,it ITA,1. Serie A,4°,3.7,11,"3,00",8,2,1,0,0,0,1,"0,27",1,0,0,0,0,0,Partite
2023-2024,22,PSV Eindhoven,nl NED,1. Eredivisie,1°,16.5,55,"3,33",36,1,13,2,3,0,7,"0,42",6,0,0,0,1,0,Partite
6 stagioni,5 club,,4 campionati,,91.2,199,"2,65",152,7,25,8,6,1,20,"0,27",17,0,0,2,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Barcelona (2 stagioni),,1 campionato,,38.0,86,"2,26",71,3,8,1,2,1,5,"0,13",5,0,0,0,0,0,
Ajax (2 stagioni),,1 campionato,,16.9,47,"2,78",37,1,3,5,1,0,7,"0,41",5,0,0,2,0,0,
Jong Ajax (2 stagioni),,1 campionato,,16.0,,,,,,,,,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,16.5,55,"3,33",36,1,13,2,3,0,7,"0,42",6,0,0,0,1,0,
Milan (1 stagione),,1 campionato,,3.7,11,"3,00",8,2,1,0,0,0,1,"0,27",1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Eredivisie (3 stagioni),,,,33.5,102,"3,05",73,2,16,7,4,0,14,"0,42",11,0,0,2,1,0,
La Liga (2 stagioni),,,,38.0,86,"2,26",71,3,8,1,2,1,5,"0,13",5,0,0,0,0,0,
Eerste Divisie (2 stagioni),,,,16.0,,,,,,,,,,,,,,,,,
Serie A (1 stagione),,,,3.7,11,"3,00",8,2,1,0,0,0,1,"0,27",1,0,0,0,0,0,
