,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Barcelona (2 stagioni),Ajax (2 stagioni),Jong Ajax (2 stagioni),PSV Eindhoven (1 stagione),Milan (1 stagione),,Eredivisie (3 stagioni),La Liga (2 stagioni),Eerste Divisie (2 stagioni),Serie A (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2018-2019,17,Jong Ajax,nl NED,2. Eerste Divisie,11°,15.0,,,,,,,,,,,,,,,,Partite
2019-2020,18,Jong Ajax,nl NED,2. Eerste Divisie,4°,1.0,,,,,,,2,,,,,,,,,Partite
2019-2020,18,Ajax,nl NED,1. Eredivisie,1°,16.1,917,811,106,6,0,2,42,100,0,0,0,0,773,0,18,Partite
2020-2021,19,Ajax,nl NED,1. Eredivisie,1°,0.9,44,38,6,0,0,0,4,6,0,0,0,0,36,0,0,Partite
2020-2021,19,Barcelona,es ESP,1. La Liga,3°,21.2,1294,1148,144,4,1,0,37,140,0,0,0,0,1142,2,31,Partite
2021-2022,20,Barcelona,es ESP,1. La Liga,2°,16.8,999,863,134,12,1,3,59,122,0,0,0,0,876,2,15,Partite
2022-2023,21,Milan,it ITA,1. Serie A,4°,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5,Partite
2023-2024,22,PSV Eindhoven,nl NED,1. Eredivisie,1°,16.5,984,849,133,13,3,0,58,120,0,0,0,0,852,2,18,Partite
6 stagioni,5 club,,4 campionati,,91.2,4436,3863,567,36,5,6,206,531,0,0,0,0,3848,6,87,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Barcelona (2 stagioni),,1 campionato,,38.0,2293,2011,278,16,2,3,96,262,0,0,0,0,2018,4,46,
Ajax (2 stagioni),,1 campionato,,16.9,961,849,112,6,0,2,46,106,0,0,0,0,809,0,18,
Jong Ajax (2 stagioni),,1 campionato,,16.0,,,,,,,2,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,16.5,984,849,133,13,3,0,58,120,0,0,0,0,852,2,18,
Milan (1 stagione),,1 campionato,,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5,
,,,,,,,,,,,,,,,,,,,,
Eredivisie (3 stagioni),,,,33.5,1945,1698,245,19,3,2,104,226,0,0,0,0,1661,2,36,
La Liga (2 stagioni),,,,38.0,2293,2011,278,16,2,3,96,262,0,0,0,0,2018,4,46,
Eerste Divisie (2 stagioni),,,,16.0,,,,,,,2,,,,,,,,,
Serie A (1 stagione),,,,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5,
