,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2006-2007,2007-2008,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,17 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Lazio (16 stagioni),Dinamo (2 stagioni),,Serie A (16 stagioni),Liga I (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2006-2007,19,Dinamo,ro ROU,1. Liga I,1°,31.4,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Dinamo,ro ROU,1. Liga I,4°,19.0,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Lazio,it ITA,1. Serie A,12°,10.5,,,,,,,,,,,,,,,,,Partite
2008-2009,21,Lazio,it ITA,1. Serie A,10°,17.4,,,,,,,,,,,,,,,,,Partite
2009-2010,22,Lazio,it ITA,1. Serie A,12°,28.0,,,,,,,,,,,,,,,,,Partite
2010-2011,23,Lazio,it ITA,1. Serie A,5°,25.2,,,,,,,,,,,,,,,,,Partite
2011-2012,24,Lazio,it ITA,1. Serie A,4°,20.2,,,,,,,,,,,,,,,,,Partite
2012-2013,25,Lazio,it ITA,1. Serie A,7°,21.5,,,,,,,,,,,,,,,,,Partite
2013-2014,26,Lazio,it ITA,1. Serie A,9°,25.0,,,,,,,,,,,,,,,,,Partite
2014-2015,27,Lazio,it ITA,1. Serie A,3°,23.5,,,,,,,,,,,,,,,,,Partite
2015-2016,28,Lazio,it ITA,1. Serie A,8°,12.1,,,,,,,,,,,,,,,,,Partite
2016-2017,29,Lazio,it ITA,1. Serie A,5°,26.7,,26,,,,,,,,,,,44,,,,Partite
2017-2018,30,Lazio,it ITA,1. Serie A,5°,28.8,53,38,36,16,1,25,41,"61,0",16,30,14,16,55,108,105,1,Partite
2018-2019,31,Lazio,it ITA,1. Serie A,8°,24.9,43,27,24,15,4,25,38,"65,8",13,20,14,6,42,85,85,1,Partite
2019-2020,32,Lazio,it ITA,1. Serie A,4°,25.6,43,25,24,15,4,28,43,"65,1",15,19,9,10,34,77,85,0,Partite
2020-2021,33,Lazio,it ITA,1. Serie A,6°,27.3,43,24,20,19,4,25,40,"62,5",15,27,14,13,45,88,73,1,Partite
2021-2022,34,Lazio,it ITA,1. Serie A,5°,6.2,9,6,3,6,0,5,9,"55,6",4,7,2,5,5,14,15,0,Partite
2022-2023,35,Lazio,it ITA,1. Serie A,2°,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partite
17 stagioni,2 club,,2 campionati,,373.3,191,146,107,71,13,108,171,"63,2",63,103,53,50,225,372,363,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Lazio (16 stagioni),,1 campionato,,322.9,191,146,107,71,13,108,171,"63,2",63,103,53,50,225,372,363,3,
Dinamo (2 stagioni),,1 campionato,,50.4,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (16 stagioni),,,,322.9,191,146,107,71,13,108,171,"63,2",63,103,53,50,225,372,363,3,
Liga I (2 stagioni),,,,50.4,,,,,,,,,,,,,,0,,,
