,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2006-2007,2007-2008,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,17 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Lazio (16 stagioni),Dinamo (2 stagioni),,Serie A (16 stagioni),Liga I (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2006-2007,19,Dinamo,ro ROU,1. Liga I,1°,31.4,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Dinamo,ro ROU,1. Liga I,4°,19.0,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Lazio,it ITA,1. Serie A,12°,10.5,,,,,,,,,,,,,,,,,Partite
2008-2009,21,Lazio,it ITA,1. Serie A,10°,17.4,,,,,,,,,,,,,,,,,Partite
2009-2010,22,Lazio,it ITA,1. Serie A,12°,28.0,,,,,,,,,,,,,,,,,Partite
2010-2011,23,Lazio,it ITA,1. Serie A,5°,25.2,,,,,,,,,,,,,,,,,Partite
2011-2012,24,Lazio,it ITA,1. Serie A,4°,20.2,,,,,,,,,,,,,,,,,Partite
2012-2013,25,Lazio,it ITA,1. Serie A,7°,21.5,,,,,,,,,,,,,,,,,Partite
2013-2014,26,Lazio,it ITA,1. Serie A,9°,25.0,,,,,,,,,,,,,,,,,Partite
2014-2015,27,Lazio,it ITA,1. Serie A,3°,23.5,,,,,,,,,,,,,,,,,Partite
2015-2016,28,Lazio,it ITA,1. Serie A,8°,12.1,,,,,,,,,,,,,,,,,Partite
2016-2017,29,Lazio,it ITA,1. Serie A,5°,26.7,,,,,,,,,,,,,,,,,Partite
2017-2018,30,Lazio,it ITA,1. Serie A,5°,28.8,22,"0,76",21,0,1,0,0,0,3,"0,10",3,0,0,0,0,0,Partite
2018-2019,31,Lazio,it ITA,1. Serie A,8°,24.9,31,"1,24",25,2,0,2,2,0,1,"0,04",0,0,0,1,0,0,Partite
2019-2020,32,Lazio,it ITA,1. Serie A,4°,25.6,31,"1,21",29,0,0,0,0,2,1,"0,04",1,0,0,0,0,0,Partite
2020-2021,33,Lazio,it ITA,1. Serie A,6°,27.3,47,"1,72",43,1,1,0,0,2,6,"0,22",6,0,0,0,0,0,Partite
2021-2022,34,Lazio,it ITA,1. Serie A,5°,6.2,2,"0,32",1,1,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,35,Lazio,it ITA,1. Serie A,2°,0.0,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
17 stagioni,2 club,,2 campionati,,373.3,133,"1,18",119,4,2,2,2,4,11,"0,10",10,0,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Lazio (16 stagioni),,1 campionato,,322.9,133,"1,18",119,4,2,2,2,4,11,"0,10",10,0,0,1,0,0,
Dinamo (2 stagioni),,1 campionato,,50.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (16 stagioni),,,,322.9,133,"1,18",119,4,2,2,2,4,11,"0,10",10,0,0,1,0,0,
Liga I (2 stagioni),,,,50.4,,,,,,,,,,,,,,,,,
