,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2006-2007,2007-2008,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,17 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Lazio (16 stagioni),Dinamo (2 stagioni),,Serie A (16 stagioni),Liga I (2 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2006-2007,19,Dinamo,ro ROU,1. Liga I,1°,31.4,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2007-2008,20,Dinamo,ro ROU,1. Liga I,4°,19.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2007-2008,20,Lazio,it ITA,1. Serie A,12°,10.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2008-2009,21,Lazio,it ITA,1. Serie A,10°,17.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2009-2010,22,Lazio,it ITA,1. Serie A,12°,28.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,23,Lazio,it ITA,1. Serie A,5°,25.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,24,Lazio,it ITA,1. Serie A,4°,20.2,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2012-2013,25,Lazio,it ITA,1. Serie A,7°,21.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,26,Lazio,it ITA,1. Serie A,9°,25.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,27,Lazio,it ITA,1. Serie A,3°,23.5,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2015-2016,28,Lazio,it ITA,1. Serie A,8°,12.1,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2016-2017,29,Lazio,it ITA,1. Serie A,5°,26.7,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,30,Lazio,it ITA,1. Serie A,5°,28.8,1431,1671,"85,6",22522,10799,752,822,"91,5",558,634,"88,0",89,152,"58,6",1,0.8,0.9,+0.2,10,162,11,5,171,Partite
2018-2019,31,Lazio,it ITA,1. Serie A,8°,24.9,1117,1329,"84,0",17315,7405,604,647,"93,4",409,478,"85,6",71,135,"52,6",1,1.3,1.4,-0.3,9,125,17,8,134,Partite
2019-2020,32,Lazio,it ITA,1. Serie A,4°,25.6,1188,1378,"86,2",20259,7370,618,653,"94,6",419,489,"85,7",126,191,"66,0",0,0.7,1.7,-0.7,13,119,14,7,115,Partite
2020-2021,33,Lazio,it ITA,1. Serie A,6°,27.3,1355,1635,"82,9",23882,9253,612,677,"90,4",594,680,"87,4",122,212,"57,5",3,1.5,1.9,+1.5,19,147,32,17,165,Partite
2021-2022,34,Lazio,it ITA,1. Serie A,5°,6.2,268,330,"81,2",4329,1809,121,139,"87,1",124,146,"84,9",15,31,"48,4",0,0.0,0.0,0.0,0,21,0,0,21,Partite
2022-2023,35,Lazio,it ITA,1. Serie A,2°,0.0,6,7,"85,7",78,21,4,4,"100,0",2,3,"66,7",0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Partite
17 stagioni,2 club,,2 campionati,,373.3,5365,6350,"84,5",88385,36657,2711,2942,"92,1",2106,2430,"86,7",423,721,"58,7",11,4.3,6.0,+6.7,51,574,74,37,607,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Lazio (16 stagioni),,1 campionato,,322.9,5365,6350,"84,5",88385,36657,2711,2942,"92,1",2106,2430,"86,7",423,721,"58,7",10,4.3,6.0,+5.7,51,574,74,37,607,
Dinamo (2 stagioni),,1 campionato,,50.4,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (16 stagioni),,,,322.9,5365,6350,"84,5",88385,36657,2711,2942,"92,1",2106,2430,"86,7",423,721,"58,7",10,4.3,6.0,+5.7,51,574,74,37,607,
Liga I (2 stagioni),,,,50.4,,,,,,,,,,,,,,,1,,,,,,,,,
