,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2006-2007,2007-2008,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,17 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Lazio (16 stagioni),Dinamo (2 stagioni),,Serie A (16 stagioni),Liga I (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2006-2007,19,Dinamo,ro ROU,1. Liga I,1°,31.4,,,,,,,,,,,,,,,,Partite
2007-2008,20,Dinamo,ro ROU,1. Liga I,4°,19.0,,,,,,,,,,,,,,,,Partite
2007-2008,20,Lazio,it ITA,1. Serie A,12°,10.5,,,,,,,,,,,,,,,,Partite
2008-2009,21,Lazio,it ITA,1. Serie A,10°,17.4,,,,,,,,,,,,,,,,Partite
2009-2010,22,Lazio,it ITA,1. Serie A,12°,28.0,,,,,,,,,,,,,,,,Partite
2010-2011,23,Lazio,it ITA,1. Serie A,5°,25.2,,,,,,,,,,,,,,,,Partite
2011-2012,24,Lazio,it ITA,1. Serie A,4°,20.2,,,,,,,,,,,,,,,,Partite
2012-2013,25,Lazio,it ITA,1. Serie A,7°,21.5,,,,,,,,,,,,,,,,Partite
2013-2014,26,Lazio,it ITA,1. Serie A,9°,25.0,,,,,,,,,,,,,,,,Partite
2014-2015,27,Lazio,it ITA,1. Serie A,3°,23.5,,,,,,,,,,,,,,,,Partite
2015-2016,28,Lazio,it ITA,1. Serie A,8°,12.1,,,,,,,,,,,,,,,,Partite
2016-2017,29,Lazio,it ITA,1. Serie A,5°,26.7,,,,,,,39,,,,,,,,,Partite
2017-2018,30,Lazio,it ITA,1. Serie A,5°,28.8,1671,1590,74,39,0,6,20,35,0,0,0,0,1431,7,22,Partite
2018-2019,31,Lazio,it ITA,1. Serie A,8°,24.9,1329,1237,83,31,0,10,31,52,0,0,0,0,1117,9,20,Partite
2019-2020,32,Lazio,it ITA,1. Serie A,4°,25.6,1378,1321,55,36,2,20,41,18,0,0,0,0,1188,2,13,Partite
2020-2021,33,Lazio,it ITA,1. Serie A,6°,27.3,1635,1561,63,30,0,10,61,31,2,1,0,0,1355,11,21,Partite
2021-2022,34,Lazio,it ITA,1. Serie A,5°,6.2,330,291,39,3,0,0,7,35,0,0,0,0,268,0,4,Partite
2022-2023,35,Lazio,it ITA,1. Serie A,2°,0.0,7,6,1,0,0,0,0,1,0,0,0,0,6,0,0,Partite
17 stagioni,2 club,,2 campionati,,373.3,6350,6006,315,139,2,46,199,172,2,1,0,0,5365,29,80,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Lazio (16 stagioni),,1 campionato,,322.9,6350,6006,315,139,2,46,199,172,2,1,0,0,5365,29,80,
Dinamo (2 stagioni),,1 campionato,,50.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (16 stagioni),,,,322.9,6350,6006,315,139,2,46,199,172,2,1,0,0,5365,29,80,
Liga I (2 stagioni),,,,50.4,,,,,,,,,,,,,,,,
