,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Bari (6 stagioni),Brescia (4 stagioni),Genoa (3 stagioni),Empoli (1 stagione),Carpi (1 stagione),,Serie B (10 stagioni),Serie A (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2012-2013,19,Bari,it ITA,2. Serie B,10°,23.3,,,,,,,,,,,,,,,,
2013-2014,20,Bari,it ITA,2. Serie B,7°,32.5,,,,,,,,,,,,,,,,
2014-2015,21,Bari,it ITA,2. Serie B,10°,29.1,,,,,,,,,,,,,,,,Partite
2015-2016,22,Carpi,it ITA,1. Serie A,18°,6.2,,,,,,,,,,,,,,,,Partite
2015-2016,22,Bari,it ITA,2. Serie B,5°,20.5,,,,,,,,,,,,,,,,Partite
2016-2017,23,Bari,it ITA,2. Serie B,12°,30.1,,,,,,,,,,,,,,,,Partite
2017-2018,24,Bari,it ITA,2. Serie B,7°,18.8,,,,,,,0,,,,,,,,,Partite
2018-2019,25,Brescia,it ITA,2. Serie B,1°,27.8,1792,1352,422,53,1,35,85,367,1,0,1,0,1271,18,37,Partite
2019-2020,26,Brescia,it ITA,1. Serie A,19°,35.2,1971,1518,442,63,2,19,89,378,1,0,1,0,1412,11,46,Partite
2020-2021,27,Empoli,it ITA,2. Serie B,1°,9.7,647,520,124,13,1,5,39,111,0,0,0,0,471,3,20,Partite
2020-2021,27,Brescia,it ITA,2. Serie B,7°,12.9,861,663,190,32,0,9,50,158,0,0,0,0,571,8,26,Partite
2021-2022,28,Brescia,it ITA,2. Serie B,5°,11.9,996,761,229,34,2,16,73,186,9,0,8,0,673,6,29,Partite
2021-2022,28,Genoa,it ITA,1. Serie A,19°,3.9,153,123,30,1,0,0,9,29,0,0,0,0,96,0,10,Partite
2022-2023,29,Genoa,it ITA,2. Serie B,2°,27.9,1517,1213,300,21,4,7,109,279,0,0,0,0,1042,4,50,Partite
2023-2024,30,Genoa,it ITA,1. Serie A,12°,20.7,748,606,140,6,1,6,80,134,0,0,0,0,460,2,35,Partite
12 stagioni,5 club,,2 campionati,,310.5,8685,6756,1877,223,11,97,534,1642,11,0,10,0,5996,52,253,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Bari (6 stagioni),,1 campionato,,154.2,,,,,,,0,,,,,,,,,
Brescia (4 stagioni),,2 campionati,,87.8,5620,4294,1283,182,5,79,297,1089,11,0,10,0,3927,43,138,
Genoa (3 stagioni),,2 campionati,,52.5,2418,1942,470,28,5,13,198,442,0,0,0,0,1598,6,95,
Empoli (1 stagione),,1 campionato,,9.7,647,520,124,13,1,5,39,111,0,0,0,0,471,3,20,
Carpi (1 stagione),,1 campionato,,6.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie B (10 stagioni),,,,244.5,5813,4509,1265,153,8,72,356,1101,10,0,9,0,4028,39,162,
Serie A (4 stagioni),,,,66.0,2872,2247,612,70,3,25,178,541,1,0,1,0,1968,13,91,
