,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Barcelona (6 stagioni),Lyon (5 stagioni),Lecce (1 stagione),Lille (1 stagione),,Ligue 1 (6 stagioni),La Liga (6 stagioni),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2011-2012,17,Lyon,fr FRA,1. Ligue 1,4°,11.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,18,Lyon,fr FRA,1. Ligue 1,3°,25.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,19,Lyon,fr FRA,1. Ligue 1,5°,26.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,20,Lyon,fr FRA,1. Ligue 1,2°,34.3,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2015-2016,21,Lyon,fr FRA,1. Ligue 1,2°,29.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Barcelona,es ESP,1. La Liga,2°,23.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,23,Barcelona,es ESP,1. La Liga,1°,24.3,1483,1628,"91,1",26965,9644,587,622,"94,4",736,778,"94,6",143,189,"75,7",0,0.1,0.3,-0.1,1,115,1,0,112,Partite
2018-2019,24,Barcelona,es ESP,1. La Liga,1°,13.2,841,891,"94,4",15403,5428,329,345,"95,4",427,440,"97,0",79,92,"85,9",1,0.7,1.0,+0.3,1,52,1,0,69,Partite
2019-2020,25,Barcelona,es ESP,1. La Liga,2°,10.5,745,811,"91,9",12639,3894,332,351,"94,6",346,361,"95,8",55,76,"72,4",0,0.0,0.1,0.0,0,45,0,0,53,Partite
2020-2021,26,Barcelona,es ESP,1. La Liga,3°,7.2,579,617,"93,8",9647,3080,242,253,"95,7",288,302,"95,4",33,43,"76,7",0,0.0,0.1,0.0,1,32,0,0,24,Partite
2021-2022,27,Barcelona,es ESP,1. La Liga,2°,1.0,42,50,"84,0",832,310,17,19,"89,5",19,22,"86,4",6,7,"85,7",0,0.0,0.0,0.0,0,5,0,0,6,Partite
2022-2023,28,Lecce,it ITA,1. Serie A,16°,23.5,724,868,"83,4",14243,4927,243,281,"86,5",371,396,"93,7",97,159,"61,0",0,0.1,0.2,-0.1,3,47,5,1,56,Partite
2023-2024,29,Lille,fr FRA,1. Ligue 1,4°,2.1,156,165,"94,5",2948,750,49,52,"94,2",89,92,"96,7",14,17,"82,4",0,0.0,0.0,0.0,0,5,0,0,8,Partite
13 stagioni,4 club,,3 campionati,,231.5,4570,5030,"90,9",82677,28033,1799,1923,"93,6",2276,2391,"95,2",427,583,"73,2",3,0.8,1.7,+2.2,6,301,7,1,328,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Barcelona (6 stagioni),,1 campionato,,79.9,3690,3997,"92,3",65486,22356,1507,1590,"94,8",1816,1903,"95,4",316,407,"77,6",1,0.8,1.5,+0.2,3,249,2,0,264,
Lyon (5 stagioni),,1 campionato,,126.1,,,,,,,,,,,,,,,2,,,,,,,,,
Lecce (1 stagione),,1 campionato,,23.5,724,868,"83,4",14243,4927,243,281,"86,5",371,396,"93,7",97,159,"61,0",0,0.1,0.2,-0.1,3,47,5,1,56,
Lille (1 stagione),,1 campionato,,2.1,156,165,"94,5",2948,750,49,52,"94,2",89,92,"96,7",14,17,"82,4",0,0.0,0.0,0.0,0,5,0,0,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (6 stagioni),,,,128.1,156,165,"94,5",2948,750,49,52,"94,2",89,92,"96,7",14,17,"82,4",2,0.0,0.0,+2.0,0,5,0,0,8,
La Liga (6 stagioni),,,,79.9,3690,3997,"92,3",65486,22356,1507,1590,"94,8",1816,1903,"95,4",316,407,"77,6",1,0.8,1.5,+0.2,3,249,2,0,264,
Serie A (1 stagione),,,,23.5,724,868,"83,4",14243,4927,243,281,"86,5",371,396,"93,7",97,159,"61,0",0,0.1,0.2,-0.1,3,47,5,1,56,
