,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Barcelona (6 stagioni),Lyon (5 stagioni),Lecce (1 stagione),Lille (1 stagione),,Ligue 1 (6 stagioni),La Liga (6 stagioni),Serie A (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2011-2012,17,Lyon,fr FRA,1. Ligue 1,4°,11.2,,,,,,,,,,,,,,,,Partite
2012-2013,18,Lyon,fr FRA,1. Ligue 1,3°,25.1,,,,,,,,,,,,,,,,Partite
2013-2014,19,Lyon,fr FRA,1. Ligue 1,5°,26.0,,,,,,,,,,,,,,,,Partite
2014-2015,20,Lyon,fr FRA,1. Ligue 1,2°,34.3,,,,,,,,,,,,,,,,Partite
2015-2016,21,Lyon,fr FRA,1. Ligue 1,2°,29.5,,,,,,,,,,,,,,,,Partite
2016-2017,22,Barcelona,es ESP,1. La Liga,2°,23.7,,,,,,,0,,,,,,,,,Partite
2017-2018,23,Barcelona,es ESP,1. La Liga,1°,24.3,1628,1570,56,48,0,9,0,8,0,0,0,0,1483,2,13,Partite
2018-2019,24,Barcelona,es ESP,1. La Liga,1°,13.2,891,873,17,15,0,6,0,2,0,0,0,0,841,1,2,Partite
2019-2020,25,Barcelona,es ESP,1. La Liga,2°,10.5,811,772,36,30,0,3,0,5,0,0,0,0,745,3,5,Partite
2020-2021,26,Barcelona,es ESP,1. La Liga,3°,7.2,617,603,14,12,0,0,0,2,0,0,0,0,579,0,1,Partite
2021-2022,27,Barcelona,es ESP,1. La Liga,2°,1.0,50,46,4,1,0,0,0,3,0,0,0,0,42,0,1,Partite
2022-2023,28,Lecce,it ITA,1. Serie A,16°,23.5,868,807,57,53,0,8,2,4,0,0,0,0,724,4,12,Partite
2023-2024,29,Lille,fr FRA,1. Ligue 1,4°,2.1,165,157,8,6,0,1,0,1,0,0,0,0,156,0,1,Partite
13 stagioni,4 club,,3 campionati,,231.5,5030,4828,192,165,0,27,2,25,0,0,0,0,4570,10,35,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Barcelona (6 stagioni),,1 campionato,,79.9,3997,3864,127,106,0,18,0,20,0,0,0,0,3690,6,22,
Lyon (5 stagioni),,1 campionato,,126.1,,,,,,,,,,,,,,,,
Lecce (1 stagione),,1 campionato,,23.5,868,807,57,53,0,8,2,4,0,0,0,0,724,4,12,
Lille (1 stagione),,1 campionato,,2.1,165,157,8,6,0,1,0,1,0,0,0,0,156,0,1,
,,,,,,,,,,,,,,,,,,,,
Ligue 1 (6 stagioni),,,,128.1,165,157,8,6,0,1,0,1,0,0,0,0,156,0,1,
La Liga (6 stagioni),,,,79.9,3997,3864,127,106,0,18,0,20,0,0,0,0,3690,6,22,
Serie A (1 stagione),,,,23.5,868,807,57,53,0,8,2,4,0,0,0,0,724,4,12,
