,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Sampdoria (4 stagioni),Spezia (2 stagioni),Cagliari (1 stagione),,Serie A (5 stagioni),Serie B (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2017-2018,22,Spezia,it ITA,2. Serie B,10°,7.9,,,,,,,,,,,,,,,,,Partite
2018-2019,23,Spezia,it ITA,2. Serie B,6°,30.8,92,"2,98",72,11,6,0,2,1,6,"0,19",6,0,0,0,0,0,Partite
2019-2020,24,Sampdoria,it ITA,1. Serie A,15°,12.6,44,"3,49",39,3,2,0,0,0,5,"0,40",5,0,0,0,0,0,Partite
2020-2021,25,Sampdoria,it ITA,1. Serie A,9°,35.7,56,"1,57",49,3,3,1,0,0,5,"0,14",5,0,0,0,0,0,Partite
2021-2022,26,Sampdoria,it ITA,1. Serie A,15°,26.6,49,"1,84",34,4,5,1,3,2,2,"0,08",2,0,0,0,0,0,Partite
2022-2023,27,Sampdoria,it ITA,1. Serie A,20°,34.0,77,"2,26",54,16,2,1,3,1,7,"0,21",6,1,0,0,0,0,Partite
2023-2024,28,Cagliari,it ITA,1. Serie A,19°,16.8,39,"2,33",23,12,0,1,2,1,1,"0,06",1,0,0,0,0,0,Partite
7 stagioni,3 club,,2 campionati,,164.5,357,"2,28",271,49,18,4,10,5,26,"0,17",25,1,0,0,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Sampdoria (4 stagioni),,1 campionato,,109.0,226,"2,07",176,26,12,3,6,3,19,"0,17",18,1,0,0,0,0,
Spezia (2 stagioni),,1 campionato,,38.8,92,"2,98",72,11,6,0,2,1,6,"0,19",6,0,0,0,0,0,
Cagliari (1 stagione),,1 campionato,,16.8,39,"2,33",23,12,0,1,2,1,1,"0,06",1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,125.7,265,"2,11",199,38,12,4,8,4,20,"0,16",19,1,0,0,0,0,
Serie B (2 stagioni),,,,38.8,92,"2,98",72,11,6,0,2,1,6,"0,19",6,0,0,0,0,0,
