,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sampdoria (4 stagioni),Spezia (2 stagioni),Cagliari (1 stagione),,Serie A (5 stagioni),Serie B (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,22,Spezia,it ITA,2. Serie B,10°,7.9,,,,,,,0,,,,,,,,,Partite
2018-2019,23,Spezia,it ITA,2. Serie B,6°,30.8,2376,1928,444,73,1,12,181,367,4,0,1,0,1904,4,69,Partite
2019-2020,24,Sampdoria,it ITA,1. Serie A,15°,12.6,823,691,130,11,0,2,82,118,1,0,0,0,632,2,18,Partite
2020-2021,25,Sampdoria,it ITA,1. Serie A,9°,35.7,2061,1701,357,42,0,5,148,315,0,0,0,0,1564,3,62,Partite
2021-2022,26,Sampdoria,it ITA,1. Serie A,15°,26.6,1368,1094,271,34,1,3,74,233,4,0,0,0,1050,3,48,Partite
2022-2023,27,Sampdoria,it ITA,1. Serie A,20°,34.0,1774,1408,365,49,0,5,170,295,21,6,15,0,1283,1,71,Partite
2023-2024,28,Cagliari,it ITA,1. Serie A,19°,16.8,896,702,193,25,0,2,101,145,23,7,14,0,624,1,31,Partite
7 stagioni,3 club,,2 campionati,,164.5,9298,7524,1760,234,2,29,756,1473,53,13,30,0,7057,14,299,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sampdoria (4 stagioni),,1 campionato,,109.0,6026,4894,1123,136,1,15,474,961,26,6,15,0,4529,9,199,
Spezia (2 stagioni),,1 campionato,,38.8,2376,1928,444,73,1,12,181,367,4,0,1,0,1904,4,69,
Cagliari (1 stagione),,1 campionato,,16.8,896,702,193,25,0,2,101,145,23,7,14,0,624,1,31,
,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,125.7,6922,5596,1316,161,1,17,575,1106,49,13,29,0,5153,10,230,
Serie B (2 stagioni),,,,38.8,2376,1928,444,73,1,12,181,367,4,0,1,0,1904,4,69,
