,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2009-2010,2010-2011,2011-2012,2011-2012,2012-2013,2013-2014,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Napoli (5 stagioni),FCSB (4 stagioni),Sassuolo (3 stagioni),Pandurii (2 stagioni),Tottenham (2 stagioni),Cremonese (1 stagione),Internațional (1 stagione),,Serie A (8 stagioni),Liga I (6 stagioni),Premier League (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2009-2010,19,Internațional,ro ROU,1. Liga I,12°,13.3,,,,,,,,,,,,,,,,
2010-2011,20,Pandurii,ro ROU,1. Liga I,13°,22.7,,,,,,,,,,,,,,,,
2011-2012,21,Pandurii,ro ROU,1. Liga I,7°,14.1,,,,,,,,,,,,,,,,Partite
2011-2012,21,Steaua,ro ROU,1. Liga I,3°,13.8,,,,,,,,,,,,,,,,Partite
2012-2013,22,Steaua,ro ROU,1. Liga I,1°,24.7,,,,,,,,,,,,,,,,Partite
2013-2014,23,Steaua,ro ROU,1. Liga I,1°,1.8,,,,,,,,,,,,,,,,Partite
2013-2014,23,Tottenham,eng ENG,1. Premier League,6°,15.7,,,,,,,,,,,,,,,,Partite
2014-2015,24,Tottenham,eng ENG,1. Premier League,5°,7.9,,,,,,,,,,,,,,,,Partite
2015-2016,25,Napoli,it ITA,1. Serie A,2°,7.7,,,,,,,,,,,,,,,,Partite
2016-2017,26,Napoli,it ITA,1. Serie A,3°,12.5,,,,,,,2,,,,,,,,,Partite
2017-2018,27,Napoli,it ITA,1. Serie A,2°,6.5,590,571,19,18,0,8,1,1,0,0,0,0,534,0,8,Partite
2018-2019,28,Napoli,it ITA,1. Serie A,2°,1.6,131,128,3,3,0,2,0,0,0,0,0,0,123,0,0,Partite
2019-2020,29,Sassuolo,it ITA,1. Serie A,8°,7.9,485,471,14,14,0,5,1,0,0,0,0,0,448,0,1,Partite
2020-2021,30,Sassuolo,it ITA,1. Serie A,8°,20.4,1610,1572,37,32,0,4,4,5,0,0,0,0,1505,1,10,Partite
2021-2022,31,Sassuolo,it ITA,1. Serie A,11°,25.6,1342,1275,65,57,0,16,0,3,0,0,0,0,1224,2,8,Partite
2022-2023,32,Cremonese,it ITA,1. Serie A,19°,10.9,410,386,24,21,1,1,0,0,0,0,0,0,344,0,2,Partite
2023-2024,33,FCSB,ro ROU,1. Liga I,1°,3.5,,,,,,,0,,,,,,,,,Partite
15 stagioni,7 club,,3 campionati,,210.6,4568,4403,162,145,1,36,8,9,0,0,0,0,4178,3,29,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Napoli (5 stagioni),,1 campionato,,28.3,721,699,22,21,0,10,3,1,0,0,0,0,657,0,8,
FCSB (4 stagioni),,1 campionato,,43.8,,,,,,,0,,,,,,,,,
Sassuolo (3 stagioni),,1 campionato,,53.8,3437,3318,116,103,0,25,5,8,0,0,0,0,3177,3,19,
Pandurii (2 stagioni),,1 campionato,,36.8,,,,,,,,,,,,,,,,
Tottenham (2 stagioni),,1 campionato,,23.6,,,,,,,,,,,,,,,,
Cremonese (1 stagione),,1 campionato,,10.9,410,386,24,21,1,1,0,0,0,0,0,0,344,0,2,
Internațional (1 stagione),,1 campionato,,13.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,93.1,4568,4403,162,145,1,36,8,9,0,0,0,0,4178,3,29,
Liga I (6 stagioni),,,,93.9,,,,,,,0,,,,,,,,,
Premier League (2 stagioni),,,,23.6,,,,,,,,,,,,,,,,
