,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Torino (5 stagioni),Monaco (1 stagione),,Serie A (5 stagioni),Ligue 1 (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2019-2020,18,Torino,it ITA,1. Serie A,16°,1.5,6,"4,09",5,0,1,0,0,0,1,"0,68",0,0,1,0,0,0,Partite
2020-2021,19,Torino,it ITA,1. Serie A,17°,20.6,41,"1,99",31,2,2,2,4,0,4,"0,19",3,0,0,0,1,0,Partite
2021-2022,20,Torino,it ITA,1. Serie A,10°,29.0,58,"2,00",43,2,2,6,4,1,6,"0,21",6,0,0,0,0,0,Partite
2022-2023,21,Torino,it ITA,1. Serie A,10°,22.7,45,"1,98",29,0,7,7,2,0,4,"0,18",2,0,1,1,0,0,Partite
2023-2024,22,Monaco,fr FRA,1. Ligue 1,3°,17.0,27,"1,59",23,1,0,1,1,1,2,"0,12",2,0,0,0,0,0,Partite
6 stagioni,2 club,,2 campionati,,90.8,177,"1,95",131,5,12,16,11,2,17,"0,19",13,0,2,1,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Torino (5 stagioni),,1 campionato,,73.8,150,"2,03",108,4,12,15,10,1,15,"0,20",11,0,2,1,1,0,
Monaco (1 stagione),,1 campionato,,17.0,27,"1,59",23,1,0,1,1,1,2,"0,12",2,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,73.8,150,"2,03",108,4,12,15,10,1,15,"0,20",11,0,2,1,1,0,
Ligue 1 (1 stagione),,,,17.0,27,"1,59",23,1,0,1,1,1,2,"0,12",2,0,0,0,0,0,
