,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2013-2014,2013-2014,2014-2015,2015,2016,2016-2017,2017-2018,2018-2019,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Udinese (3 stagioni),Watford (3 stagioni),Haugesund (2 stagioni),Dordrecht (2 stagioni),Bursaspor (2 stagioni),PAOK (1 stagione),Salernitana (1 stagione),Gent (1 stagione),Groningen (1 stagione),,Serie A (4 stagioni),Championship (2 stagioni),Tippeligaen (2 stagioni),Süper Lig (2 stagioni),Eredivisie (2 stagioni),Premier League (1 stagione),Super League (1 stagione),Eerste Divisie (1 stagione),First Division A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2013-2014,19,Groningen,nl NED,1. Eredivisie,7°,0.5,,,,,,,,,,,,,,,,,Partite
2013-2014,19,Dordrecht,nl NED,2. Eerste Divisie,2°,6.5,,,,,,,,,,,,,,,,,Partite
2014-2015,20,Dordrecht,nl NED,1. Eredivisie,18°,17.5,,,,,,,,,,,,,,,,,Partite
2015,21,Haugesund,no NOR,1. Tippeligaen,12°,13.0,,,,,,,,,,,,,,,,,Partite
2016,22,Haugesund,no NOR,1. Tippeligaen,4°,24.0,,0,,,,,,,,,,,0,,,,Partite
2016-2017,22,Gent,be BEL,1. First Division A,3°,6.6,,0,,,,,,,,,,,0,,,,Partite
2017-2018,23,Bursaspor,tr TUR,1. Süper Lig,13°,25.4,,17,,,,,,,,,,,38,,,,Partite
2018-2019,24,Bursaspor,tr TUR,1. Süper Lig,16°,1.0,,1,,,,,,,,,,,3,,,,Partite
2018-2019,24,Udinese,it ITA,1. Serie A,12°,34.0,31,15,21,9,1,13,24,"54,2",11,53,41,12,40,71,200,2,Partite
2019-2020,25,Udinese,it ITA,1. Serie A,13°,28.6,37,19,25,12,0,10,18,"55,6",8,41,29,12,31,68,135,2,Partite
2020-2021,26,Watford,eng ENG,2. Championship,2°,29.7,28,17,18,10,0,15,27,"55,6",12,29,20,9,21,49,125,2,Partite
2021-2022,27,Watford,eng ENG,1. Premier League,19°,15.4,18,9,11,6,1,10,15,"66,7",5,24,14,10,7,25,82,1,Partite
2022-2023,28,Watford,eng ENG,2. Championship,11°,12.2,11,7,6,5,0,6,9,"66,7",3,10,8,2,15,26,40,0,Partite
2022-2023,28,Salernitana,it ITA,1. Serie A,15°,4.9,11,3,7,4,0,6,7,"85,7",1,7,4,3,6,17,10,0,Partite
2023-2024,29,PAOK,gr GRE,1. Super League,2°,9.7,,,,,,,,,,,,,,,,,Partite
11 stagioni,9 club,,9 campionati,,229.2,136,88,88,46,2,60,100,"60,0",40,164,116,48,161,256,592,7,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Udinese (3 stagioni),,1 campionato,,62.7,68,34,46,21,1,23,42,"54,8",19,94,70,24,71,139,335,4,
Watford (3 stagioni),,2 campionati,,57.3,57,33,35,21,1,31,51,"60,8",20,63,42,21,43,100,247,3,
Haugesund (2 stagioni),,1 campionato,,37.0,,0,,,,,,,,,,,0,0,,,
Dordrecht (2 stagioni),,2 campionati,,24.0,,,,,,,,,,,,,,0,,,
Bursaspor (2 stagioni),,1 campionato,,26.4,,18,,,,,,,,,,,41,0,,,
PAOK (1 stagione),,1 campionato,,9.7,,,,,,,,,,,,,,0,,,
Salernitana (1 stagione),,1 campionato,,4.9,11,3,7,4,0,6,7,"85,7",1,7,4,3,6,17,10,0,
Gent (1 stagione),,1 campionato,,6.6,,0,,,,,,,,,,,0,0,,,
Groningen (1 stagione),,1 campionato,,0.5,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,67.6,79,37,53,25,1,29,49,"59,2",20,101,74,27,77,156,345,4,
Championship (2 stagioni),,,,41.9,39,24,24,15,0,21,36,"58,3",15,39,28,11,36,75,165,2,
Tippeligaen (2 stagioni),,,,37.0,,0,,,,,,,,,,,0,0,,,
Süper Lig (2 stagioni),,,,26.4,,18,,,,,,,,,,,41,0,,,
Eredivisie (2 stagioni),,,,18.0,,,,,,,,,,,,,,0,,,
Premier League (1 stagione),,,,15.4,18,9,11,6,1,10,15,"66,7",5,24,14,10,7,25,82,1,
Super League (1 stagione),,,,9.7,,,,,,,,,,,,,,0,,,
Eerste Divisie (1 stagione),,,,6.5,,,,,,,,,,,,,,0,,,
First Division A (1 stagione),,,,6.6,,0,,,,,,,,,,,0,0,,,
