,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2013-2014,2013-2014,2014-2015,2015,2016,2016-2017,2017-2018,2018-2019,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Udinese (3 stagioni),Watford (3 stagioni),Haugesund (2 stagioni),Dordrecht (2 stagioni),Bursaspor (2 stagioni),PAOK (1 stagione),Salernitana (1 stagione),Gent (1 stagione),Groningen (1 stagione),,Serie A (4 stagioni),Championship (2 stagioni),Tippeligaen (2 stagioni),Süper Lig (2 stagioni),Eredivisie (2 stagioni),Premier League (1 stagione),Super League (1 stagione),Eerste Divisie (1 stagione),First Division A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2013-2014,19,Groningen,nl NED,1. Eredivisie,7°,0.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,19,Dordrecht,nl NED,2. Eerste Divisie,2°,6.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,20,Dordrecht,nl NED,1. Eredivisie,18°,17.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015,21,Haugesund,no NOR,1. Tippeligaen,12°,13.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016,22,Haugesund,no NOR,1. Tippeligaen,4°,24.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2016-2017,22,Gent,be BEL,1. First Division A,3°,6.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,23,Bursaspor,tr TUR,1. Süper Lig,13°,25.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,24,Bursaspor,tr TUR,1. Süper Lig,16°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,24,Udinese,it ITA,1. Serie A,12°,34.0,926,1143,"81,0",20612,7783,227,274,"82,8",516,582,"88,7",178,266,"66,9",0,0.4,0.4,-0.4,5,39,4,1,50,Partite
2019-2020,25,Udinese,it ITA,1. Serie A,13°,28.6,862,1058,"81,5",18287,8082,207,245,"84,5",519,570,"91,1",127,219,"58,0",0,0.1,0.4,-0.1,3,44,4,0,52,Partite
2020-2021,26,Watford,eng ENG,2. Championship,2°,29.7,1311,1626,"80,6",30980,11523,253,283,"89,4",785,868,"90,4",267,440,"60,7",0,0.1,0.3,-0.1,2,73,2,0,79,Partite
2021-2022,27,Watford,eng ENG,1. Premier League,19°,15.4,466,604,"77,2",10969,4190,95,112,"84,8",275,316,"87,0",96,165,"58,2",0,0.1,0.1,-0.1,1,27,0,0,30,Partite
2022-2023,28,Watford,eng ENG,2. Championship,11°,12.2,537,665,"80,8",12040,4695,112,135,"83,0",337,370,"91,1",84,144,"58,3",0,0.1,0.2,-0.1,1,20,3,1,36,Partite
2022-2023,28,Salernitana,it ITA,1. Serie A,15°,4.9,148,179,"82,7",3117,1047,31,36,"86,1",102,112,"91,1",13,24,"54,2",0,0.0,0.0,0.0,0,1,1,1,6,Partite
2023-2024,29,PAOK,gr GRE,1. Super League,2°,9.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
11 stagioni,9 club,,9 campionati,,229.2,4250,5275,"80,6",96005,37320,925,1085,"85,3",2534,2818,"89,9",765,1258,"60,8",1,0.7,1.4,+0.3,12,204,14,3,253,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Udinese (3 stagioni),,1 campionato,,62.7,1788,2201,"81,2",38899,15865,434,519,"83,6",1035,1152,"89,8",305,485,"62,9",0,0.5,0.8,-0.5,8,83,8,1,102,
Watford (3 stagioni),,2 campionati,,57.3,2314,2895,"79,9",53989,20408,460,530,"86,8",1397,1554,"89,9",447,749,"59,7",0,0.2,0.6,-0.2,4,120,5,1,145,
Haugesund (2 stagioni),,1 campionato,,37.0,,,,,,,,,,,,,,,1,,,,,,,,,
Dordrecht (2 stagioni),,2 campionati,,24.0,,,,,,,,,,,,,,,0,,,,,,,,,
Bursaspor (2 stagioni),,1 campionato,,26.4,,,,,,,,,,,,,,,0,,,,,,,,,
PAOK (1 stagione),,1 campionato,,9.7,,,,,,,,,,,,,,,0,,,,,,,,,
Salernitana (1 stagione),,1 campionato,,4.9,148,179,"82,7",3117,1047,31,36,"86,1",102,112,"91,1",13,24,"54,2",0,0.0,0.0,0.0,0,1,1,1,6,
Gent (1 stagione),,1 campionato,,6.6,,,,,,,,,,,,,,,0,,,,,,,,,
Groningen (1 stagione),,1 campionato,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,67.6,1936,2380,"81,3",42016,16912,465,555,"83,8",1137,1264,"90,0",318,509,"62,5",0,0.5,0.8,-0.5,8,84,9,2,108,
Championship (2 stagioni),,,,41.9,1848,2291,"80,7",43020,16218,365,418,"87,3",1122,1238,"90,6",351,584,"60,1",0,0.2,0.5,-0.2,3,93,5,1,115,
Tippeligaen (2 stagioni),,,,37.0,,,,,,,,,,,,,,,1,,,,,,,,,
Süper Lig (2 stagioni),,,,26.4,,,,,,,,,,,,,,,0,,,,,,,,,
Eredivisie (2 stagioni),,,,18.0,,,,,,,,,,,,,,,0,,,,,,,,,
Premier League (1 stagione),,,,15.4,466,604,"77,2",10969,4190,95,112,"84,8",275,316,"87,0",96,165,"58,2",0,0.1,0.1,-0.1,1,27,0,0,30,
Super League (1 stagione),,,,9.7,,,,,,,,,,,,,,,0,,,,,,,,,
Eerste Divisie (1 stagione),,,,6.5,,,,,,,,,,,,,,,0,,,,,,,,,
First Division A (1 stagione),,,,6.6,,,,,,,,,,,,,,,0,,,,,,,,,
