,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,AGF (2 stagioni),Köln U17 (1 stagione),Köln U19 (1 stagione),Roda JC (1 stagione),Inter (1 stagione),Holstein Kiel (1 stagione),Köln (1 stagione),,Superliga (2 stagioni),U17 Bundesliga (1 stagione),U19 Bundesliga (1 stagione),Serie A (1 stagione),Eerste Divisie (1 stagione),Bundesliga (1 stagione),2. Bundesliga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,15,Köln U17,de GER,Jr. U17 Bundesliga,9°,25.0,,,,,,,,,,,,,,,,Partite
2017-2018,16,Köln U19,de GER,Jr. U19 Bundesliga,10°,18.7,,,,,,,,,,,,,,,,Partite
2017-2018,16,Köln,de GER,1. Bundesliga,18°,1.7,82,80,2,2,0,1,1,0,0,0,0,0,75,0,0,Partite
2018-2019,17,Holstein Kiel,de GER,2. 2. Bundesliga,6°,0.2,15,14,1,1,0,0,2,0,0,0,0,0,13,0,0,Partite
2019-2020,18,Roda JC,nl NED,2. Eerste Divisie,16°,5.4,,,,,,,2,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,
2021-2022,20,AGF,dk DEN,1. Superliga,10°,23.5,,,,,,,0,,,,,,,,,Partite
2022-2023,21,AGF,dk DEN,1. Superliga,9°,32.0,,,,,,,14,,,,,,,,,Partite
2023-2024,22,Inter,it ITA,1. Serie A,1°,5.3,386,370,16,11,1,2,3,5,0,0,0,0,358,0,4,Partite
6 stagioni,5 club,,5 campionati,,68.2,483,464,19,14,1,3,22,5,0,0,0,0,446,0,4,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
AGF (2 stagioni),,1 campionato,,55.5,,,,,,,14,,,,,,,,,
Köln U17 (1 stagione),,1 campionato,,25.0,,,,,,,,,,,,,,,,
Köln U19 (1 stagione),,1 campionato,,18.7,,,,,,,,,,,,,,,,
Roda JC (1 stagione),,1 campionato,,5.4,,,,,,,2,,,,,,,,,
Inter (1 stagione),,1 campionato,,5.3,386,370,16,11,1,2,3,5,0,0,0,0,358,0,4,
Holstein Kiel (1 stagione),,1 campionato,,0.2,15,14,1,1,0,0,2,0,0,0,0,0,13,0,0,
Köln (1 stagione),,1 campionato,,1.7,82,80,2,2,0,1,1,0,0,0,0,0,75,0,0,
,,,,,,,,,,,,,,,,,,,,
Superliga (2 stagioni),,,,55.5,,,,,,,14,,,,,,,,,
U17 Bundesliga (1 stagione),,,,25.0,,,,,,,,,,,,,,,,
U19 Bundesliga (1 stagione),,,,18.7,,,,,,,,,,,,,,,,
Serie A (1 stagione),,,,5.3,386,370,16,11,1,2,3,5,0,0,0,0,358,0,4,
Eerste Divisie (1 stagione),,,,5.4,,,,,,,2,,,,,,,,,
Bundesliga (1 stagione),,,,1.7,82,80,2,2,0,1,1,0,0,0,0,0,75,0,0,
2. Bundesliga (1 stagione),,,,0.2,15,14,1,1,0,0,2,0,0,0,0,0,13,0,0,
