,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,,2015,2016,2016,2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Everton (5 stagioni),Santa Fe (2 stagioni),Palmeiras (2 stagioni),Barcelona (1 stagione),Fiorentina (1 stagione),Cagliari (1 stagione),,Premier League (5 stagioni),Primera A (2 stagioni),Série A (2 stagioni),Serie A (1 stagione),La Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2015,20,Santa Fe,co COL,1. Primera A,7°,22.1,,,,,,,,,,,,,,,,,Partite
2016,21,Santa Fe,co COL,1. Primera A,1°,10.0,,,,,,,,,,,,,,,,,Partite
2016,21,Palmeiras,br BRA,1. Série A,1°,10.9,,17,,,,,,,,,,,28,,,,Partite
2017,22,Palmeiras,br BRA,1. Série A,2°,14.7,,17,,,,,,,,,,,32,,,,Partite
2017-2018,22,Barcelona,es ESP,1. La Liga,1°,4.1,10,8,6,4,0,4,6,"66,7",2,6,3,3,6,16,16,0,Partite
2018-2019,23,Everton,eng ENG,1. Premier League,8°,9.9,14,7,8,6,0,6,9,"66,7",3,11,5,6,8,22,54,3,Partite
2019-2020,24,Everton,eng ENG,1. Premier League,12°,25.4,39,22,25,12,2,18,24,"75,0",6,20,14,6,28,67,102,1,Partite
2020-2021,25,Everton,eng ENG,1. Premier League,10°,21.5,21,14,17,4,0,8,12,"66,7",4,30,23,7,24,45,110,1,Partite
2021-2022,26,Everton,eng ENG,1. Premier League,16°,9.4,12,10,12,0,0,10,13,"76,9",3,13,9,4,11,23,38,1,Partite
2022-2023,27,Everton,eng ENG,1. Premier League,17°,6.6,15,8,9,6,0,9,11,"81,8",2,7,4,3,6,21,28,0,Partite
2023-2024,28,Fiorentina,it ITA,1. Serie A,7°,0.5,1,1,1,0,0,1,2,"50,0",1,0,0,0,0,1,2,0,Partite
2023-2024,28,Cagliari,it ITA,1. Serie A,19°,3.5,6,4,6,0,0,4,6,"66,7",2,12,8,4,2,8,18,0,Partite
9 stagioni,6 club,,5 campionati,,138.7,118,108,84,32,2,60,83,"72,3",23,99,66,33,145,203,368,6,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Everton (5 stagioni),,1 campionato,,72.8,101,61,71,28,2,51,69,"73,9",18,81,55,26,77,178,332,6,
Santa Fe (2 stagioni),,1 campionato,,32.1,,,,,,,,,,,,,,0,,,
Palmeiras (2 stagioni),,1 campionato,,25.6,,34,,,,,,,,,,,60,0,,,
Barcelona (1 stagione),,1 campionato,,4.1,10,8,6,4,0,4,6,"66,7",2,6,3,3,6,16,16,0,
Fiorentina (1 stagione),,1 campionato,,0.5,1,1,1,0,0,1,2,"50,0",1,0,0,0,0,1,2,0,
Cagliari (1 stagione),,1 campionato,,3.5,6,4,6,0,0,4,6,"66,7",2,12,8,4,2,8,18,0,
,,,,,,,,,,,,,,,,,,,,,
Premier League (5 stagioni),,,,72.8,101,61,71,28,2,51,69,"73,9",18,81,55,26,77,178,332,6,
Primera A (2 stagioni),,,,32.1,,,,,,,,,,,,,,0,,,
Série A (2 stagioni),,,,25.6,,34,,,,,,,,,,,60,0,,,
Serie A (1 stagione),,,,4.0,7,5,7,0,0,5,8,"62,5",3,12,8,4,2,9,20,0,
La Liga (1 stagione),,,,4.1,10,8,6,4,0,4,6,"66,7",2,6,3,3,6,16,16,0,
