,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,,2015,2016,2016,2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Everton (5 stagioni),Santa Fe (2 stagioni),Palmeiras (2 stagioni),Barcelona (1 stagione),Fiorentina (1 stagione),Cagliari (1 stagione),,Premier League (5 stagioni),Primera A (2 stagioni),Série A (2 stagioni),Serie A (1 stagione),La Liga (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2015,20,Santa Fe,co COL,1. Primera A,7°,22.1,,,,,,,,,,,,,,,,,Partite
2016,21,Santa Fe,co COL,1. Primera A,1°,10.0,,,,,,,,,,,,,,,,,Partite
2016,21,Palmeiras,br BRA,1. Série A,1°,10.9,,,,,,,,,,,,,,,,,Partite
2017,22,Palmeiras,br BRA,1. Série A,2°,14.7,,,,,,,,,,,,,,,,,Partite
2017-2018,22,Barcelona,es ESP,1. La Liga,1°,4.1,3,"0,73",2,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,23,Everton,eng ENG,1. Premier League,8°,9.9,6,"0,61",5,0,0,0,1,0,1,"0,10",1,0,0,0,0,0,Partite
2019-2020,24,Everton,eng ENG,1. Premier League,12°,25.4,17,"0,67",10,0,0,5,0,2,3,"0,12",2,0,0,1,0,0,Partite
2020-2021,25,Everton,eng ENG,1. Premier League,10°,21.5,6,"0,28",5,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,26,Everton,eng ENG,1. Premier League,16°,9.4,2,"0,21",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,27,Everton,eng ENG,1. Premier League,17°,6.6,8,"1,21",5,0,0,1,2,0,1,"0,15",0,0,0,0,1,0,Partite
2023-2024,28,Fiorentina,it ITA,1. Serie A,7°,0.5,1,"2,05",0,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,28,Cagliari,it ITA,1. Serie A,19°,3.5,1,"0,28",0,0,0,0,1,0,0,"0,00",0,0,0,0,0,0,Partite
9 stagioni,6 club,,5 campionati,,138.7,44,"0,54",29,0,0,7,4,4,5,"0,06",3,0,0,1,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Everton (5 stagioni),,1 campionato,,72.8,39,"0,54",27,0,0,6,3,3,5,"0,07",3,0,0,1,1,0,
Santa Fe (2 stagioni),,1 campionato,,32.1,,,,,,,,,,,,,,,,,
Palmeiras (2 stagioni),,1 campionato,,25.6,,,,,,,,,,,,,,,,,
Barcelona (1 stagione),,1 campionato,,4.1,3,"0,73",2,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,
Fiorentina (1 stagione),,1 campionato,,0.5,1,"2,05",0,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
Cagliari (1 stagione),,1 campionato,,3.5,1,"0,28",0,0,0,0,1,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Premier League (5 stagioni),,,,72.8,39,"0,54",27,0,0,6,3,3,5,"0,07",3,0,0,1,1,0,
Primera A (2 stagioni),,,,32.1,,,,,,,,,,,,,,,,,
Série A (2 stagioni),,,,25.6,,,,,,,,,,,,,,,,,
Serie A (1 stagione),,,,4.0,2,"0,50",0,0,0,1,1,0,0,"0,00",0,0,0,0,0,0,
La Liga (1 stagione),,,,4.1,3,"0,73",2,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,
