,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Lille (4 stagioni),Roma (2 stagioni),,Ligue 1 (4 stagioni),Serie A (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2018-2019,21,Lille,fr FRA,1. Ligue 1,2°,33.0,81,"2,45",63,7,4,1,2,4,9,"0,27",6,1,0,0,2,0,Partite
2019-2020,22,Lille,fr FRA,1. Ligue 1,4°,23.0,37,"1,61",30,4,2,0,1,0,5,"0,22",2,1,1,0,1,0,Partite
2020-2021,23,Lille,fr FRA,1. Ligue 1,1°,26.5,53,"2,00",47,1,0,2,1,2,7,"0,26",7,0,0,0,0,0,Partite
2021-2022,24,Lille,fr FRA,1. Ligue 1,10°,30.0,52,"1,74",45,1,1,2,2,1,8,"0,27",6,0,0,1,1,0,Partite
2022-2023,25,Roma,it ITA,1. Serie A,6°,16.7,40,"2,40",33,3,0,1,1,2,5,"0,30",4,0,0,0,0,1,Partite
2023-2024,26,Roma,it ITA,1. Serie A,5°,3.6,9,"2,51",9,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
6 stagioni,2 club,,2 campionati,,132.7,272,"2,05",227,16,7,6,7,9,34,"0,26",25,2,1,1,4,1,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Lille (4 stagioni),,1 campionato,,112.4,223,"1,98",185,13,7,5,6,7,29,"0,26",21,2,1,1,4,0,
Roma (2 stagioni),,1 campionato,,20.3,49,"2,42",42,3,0,1,1,2,5,"0,25",4,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 stagioni),,,,112.4,223,"1,98",185,13,7,5,6,7,29,"0,26",21,2,1,1,4,0,
Serie A (2 stagioni),,,,20.3,49,"2,42",42,3,0,1,1,2,5,"0,25",4,0,0,0,0,1,
