,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Lille (4 stagioni),Roma (2 stagioni),,Ligue 1 (4 stagioni),Serie A (2 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2018-2019,21,Lille,fr FRA,1. Ligue 1,2°,33.0,1287,1727,"74,5",19710,7357,696,800,"87,0",459,625,"73,4",85,180,"47,2",5,2.7,2.9,+2.3,34,86,35,17,117,Partite
2019-2020,22,Lille,fr FRA,1. Ligue 1,4°,23.0,1074,1375,"78,1",17267,6540,539,613,"87,9",376,458,"82,1",105,180,"58,3",2,1.9,2.3,+0.1,15,86,23,8,105,Partite
2020-2021,23,Lille,fr FRA,1. Ligue 1,1°,26.5,1273,1648,"77,2",19810,7827,673,745,"90,3",470,592,"79,4",80,183,"43,7",2,2.0,2.6,0.0,22,85,19,8,102,Partite
2021-2022,24,Lille,fr FRA,1. Ligue 1,10°,30.0,1390,1755,"79,2",22094,8085,740,829,"89,3",506,623,"81,2",102,194,"52,6",3,1.8,2.8,+1.2,23,109,34,12,172,Partite
2022-2023,25,Roma,it ITA,1. Serie A,6°,16.7,697,927,"75,2",11222,4779,365,408,"89,5",250,323,"77,4",59,124,"47,6",1,1.6,1.4,-0.6,16,55,24,7,67,Partite
2023-2024,26,Roma,it ITA,1. Serie A,5°,3.6,126,152,"82,9",1918,666,72,81,"88,9",41,49,"83,7",7,14,"50,0",0,0.3,0.2,-0.3,5,4,5,3,13,Partite
6 stagioni,2 club,,2 campionati,,132.7,5847,7584,"77,1",92021,35254,3085,3476,"88,8",2102,2670,"78,7",438,875,"50,1",13,10.2,12.3,+2.8,115,425,140,55,576,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Lille (4 stagioni),,1 campionato,,112.4,5024,6505,"77,2",78881,29809,2648,2987,"88,7",1811,2298,"78,8",372,737,"50,5",12,8.3,10.6,+3.7,94,366,111,45,496,
Roma (2 stagioni),,1 campionato,,20.3,823,1079,"76,3",13140,5445,437,489,"89,4",291,372,"78,2",66,138,"47,8",1,1.9,1.7,-0.9,21,59,29,10,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 stagioni),,,,112.4,5024,6505,"77,2",78881,29809,2648,2987,"88,7",1811,2298,"78,8",372,737,"50,5",12,8.3,10.6,+3.7,94,366,111,45,496,
Serie A (2 stagioni),,,,20.3,823,1079,"76,3",13140,5445,437,489,"89,4",291,372,"78,2",66,138,"47,8",1,1.9,1.7,-0.9,21,59,29,10,80,
